transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1088166.2234348885,1174915.57212255,86749.34868766146,557.4173390790312,381.25752270771636,2107.784400936924,227.53478559993204,6424.680813463137,44193955.44348462,48329258.40867752,3155705.6607666276,2210733.8911317703,1088166.2234348885,2846099.5045299036,901193.3926084528
BANC_to_CAISO,BANC,CAISO,2022,370974.20160608465,817180.7047408344,446206.50313474983,541.4844601604252,370.9126817882095,1509.148950458761,1202.9960824837285,6047.854967057512,29322080.491208185,31748224.514108412,15060203.925838562,8988962.164322833,370974.20160608465,1979526.427833376,4635409.771849308
BANC_to_CAISO,BANC,CAISO,2026,910197.073192261,971063.927784124,60866.854591862895,566.5944062089224,262.06632096575237,1713.86077437916,232.25744676980892,6813.881778851035,38424740.981551826,55937914.81726039,2252399.982421349,1576735.1662538794,910197.073192261,2352291.132262738,632314.0168895741
BANC_to_CAISO,BANC,CAISO,2030,1054717.479109398,1066227.8521894792,11510.373080081476,752.9187203024795,355.0948025072337,1416.1261015812304,32.41492975625008,7311.458968662524,36588758.86189817,82954426.25437498,456585.7580940325,336992.98179198604,1054717.479109398,2582814.498247707,119574.4334622979
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-433428.8460535521,1339.0834539304303,434767.9295074825,40.955000000000005,189.6579605582279,32.6964584038684,2292.379018670308,6434.924522925824,50302.48439449517,56868.729400754084,15677268.700280866,10499073.554351458,-433428.8460535521,4256.588437307607,4516579.116863847
IID_to_CAISO,IID,CAISO,2022,-1199850.6539356925,6220.358447931754,1206071.0123836244,88.46598025535367,314.3788871844535,70.31356494300891,3836.361351059794,4853.325083997174,244727.5233207075,270734.1745822065,41049958.24654361,21138210.980149418,-1199850.6539356925,19772.924175137665,12529267.444189051
IID_to_CAISO,IID,CAISO,2026,-909988.4872149237,11715.295442969313,921703.7826578933,69.52195222409766,302.9039517631203,168.51217591252512,3042.8912442142464,5548.596579873236,484533.99266173126,681225.9331726269,31099636.261361588,17733441.847794615,-909988.4872149237,37240.56994020319,9575119.96972864
IID_to_CAISO,IID,CAISO,2030,-658907.4901313969,85629.14823639134,744536.638367788,168.30989849069638,316.3665823079214,508.75883714661404,2353.398494039191,5897.8426688142,3621525.1476076622,7394194.528935439,22806215.193167403,11192412.875977112,-658907.4901313969,272195.7694926751,7734608.774945944
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDWP_to_CAISO,LDWP,CAISO,2020,-265182.702134614,268795.38772829174,533978.089862906,579.6608292406006,1087.664125372077,463.7114915638408,490.94024286241716,7805.34826557375,11269251.704605646,12984159.663603596,16676632.514405752,7551773.4651943315,-265182.702134614,1502993.128100683,5547221.308143945
LDWP_to_CAISO,LDWP,CAISO,2022,-2687512.9671975113,132061.54995323133,2819574.517150744,473.2330021950427,1229.3463830072542,279.06242662848405,2293.5557920245706,6187.381781346954,6323390.783169122,7223867.533133069,83536265.88452241,29387073.829203326,-2687512.9671975113,738434.4465678185,29291118.62660865
LDWP_to_CAISO,LDWP,CAISO,2026,-1833395.459685766,315691.86638736556,2149087.3260731315,616.6163936652946,1180.2864332147772,511.9744944029597,1820.8184603288253,6427.207045268223,11519145.758174574,18037279.2677002,63937281.05205238,28775462.33719845,-1833395.459685766,1765220.0356649335,22325774.940489102
LDWP_to_CAISO,LDWP,CAISO,2030,-1011912.91338278,543369.4135443624,1555282.3269271425,658.5249574871217,1003.9791022298801,825.1310863263503,1549.1182271352009,6385.750686538457,22011530.73931961,47216746.08625171,40954051.93488746,14521713.312974498,-1011912.91338278,3038299.544310141,16157033.05500865
NW_to_BANC,NW,BANC,2020,4105190.404252736,4130169.686243835,24979.281991098575,997.5150792115231,202.101350923016,4140.458397389331,123.59779821864538,4495.9438043920045,98107084.04242934,160755338.67967474,627704.5654105417,567203.1625644456,4105190.404252736,47242009.87659508,60509.45202982182
NW_to_BANC,NW,BANC,2022,2022005.3337830428,2395923.7172499015,373918.383466856,843.0697183347883,329.88312166759454,2841.904607820898,1133.487465429145,4784.607926749947,64860208.382082805,100979800.20748657,9778708.52887402,8873431.43188351,2022005.3337830428,29033820.356098685,905773.6618400682
NW_to_BANC,NW,BANC,2026,732872.6471664346,2189047.563471117,1456174.9163046798,835.2928125812538,643.7564924514036,2620.69483958139,2261.9964744116423,3877.30868600695,60106548.84477892,99625990.94163625,35916769.4786995,25249657.718487293,732872.6471664346,30045447.403060675,3527414.491049512
NW_to_BANC,NW,BANC,2030,-630034.3968369694,2118166.0926456037,2748200.4894825714,665.847554861486,834.0328926993197,3181.157724738118,3295.074467132959,2283.7678081289096,60453819.11527498,101192879.27520975,79952591.62837516,18786194.291635673,-630034.3968369694,33292837.146752905,6657197.99725953
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2020,19753308.057990447,19790463.93800318,37155.880012732414,3545.315304316736,327.4512897894829,5582.14495447176,113.46994551959095,3064.385100008654,624339667.3674461,805449945.4854681,951197.1714499686,47317.21698746682,19753308.057990447,97206660.14532518,385993.80443831795
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2022,15258815.122312976,16972704.376103353,1713889.2537903648,3268.8560997009617,1286.65466884174,5192.24580661597,1332.0507011669463,2235.703492217099,578427290.5568964,731893185.1796935,49772203.39985366,2944229.319525917,15258815.122312976,83366409.48442353,17804724.864268932
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2026,14315505.178410016,17161489.018536016,2845983.840125996,2877.5742339348863,2338.5909784549217,5963.873604424394,1216.9652009888034,1579.1611945868071,810733321.8442371,982912879.881313,83863861.91519554,27070934.60779554,14315505.178410016,84293682.45438705,29565470.157731477
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2030,12745475.695843643,15605551.974405585,2860076.2785619423,2611.759226323357,2241.8255374618134,5975.111264897851,1275.7800420991323,1509.1086930030212,1178396818.0131135,1297681716.2876956,88576851.33223346,20200666.08164028,12745475.695843643,76651243.62646171,29711888.132517084
NW_to_CAISO_Unspecified,NW,CAISO_NW_Hydro,2020,7852815.1853451645,9738575.621990865,1885760.4366457046,2585.1048543745524,1358.8182918552745,3767.1878591350387,1387.7944151538945,3605.017725711046,249747186.762758,313307073.2001668,58000878.464746855,58000878.464746855,7852815.1853451645,63558601.987269685,0.0
NW_to_CAISO_Unspecified,NW,CAISO_NW_Hydro,2022,3358322.9176047333,7539803.477720952,4181480.560116197,2464.281801303237,1779.472968125623,3059.635255080617,2349.842135854801,3350.5226090645683,211083342.95969304,265400513.1183638,121290636.31559993,121290636.31559993,3358322.9176047333,54333472.27810708,0.0
NW_to_CAISO_Unspecified,NW,CAISO_NW_Hydro,2026,2415012.3097158317,5928230.561944569,3513218.252228728,2232.0249742327037,2503.1141565336825,2655.987558554312,1403.5389648763921,4700.473476569289,162425470.33274195,288612680.27317804,99841060.11104253,99841060.11104253,2415012.3097158317,52248813.69481521,0.0
NW_to_CAISO_Unspecified,NW,CAISO_NW_Hydro,2030,844984.1587772772,4351568.846004018,3506584.6872267528,2371.045575702409,2561.549379435252,1835.2953189079417,1368.9311302676717,5555.773550824393,115266010.35872321,338380242.1233525,104935700.30901352,104935700.30901352,844984.1587772772,47022946.888334736,0.0
