line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502863.0957704584,0.0
BANC_to_CAISO,2022,347467.5023687745,0.0
BANC_to_CAISO,2026,585189.9668484878,0.0
BANC_to_CAISO,2030,531004.6734008486,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,14173.333045086481,0.0
IID_to_CAISO,2026,29862.051398138232,0.0
IID_to_CAISO,2030,45786.510345532275,0.0
LDWP_to_CAISO,2020,115044.21841267399,0.0
LDWP_to_CAISO,2022,70712.17486312603,0.0
LDWP_to_CAISO,2026,198134.20971510693,0.0
LDWP_to_CAISO,2030,202618.00730869628,0.0
NW_to_CAISO_Unspecified,2020,4099281.7479821867,0.0
NW_to_CAISO_Unspecified,2022,3092627.1528212726,0.0
NW_to_CAISO_Unspecified,2026,2252466.1413062345,0.0
NW_to_CAISO_Unspecified,2030,1641955.2768024083,0.0
SW_to_CAISO,2020,5866820.193317299,0.0
SW_to_CAISO,2022,9094100.535016667,0.0
SW_to_CAISO,2026,10721225.491605405,0.0
SW_to_CAISO,2030,8447868.308507785,0.0
