zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,28564658.493869275
IID,2026,729298.2748656464,28809687.38773492
IID,2030,729298.2748656464,29232381.66077985
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,485305.4293560252
LDWP,2026,13199.194695043863,496671.44324343797
LDWP,2030,13199.194695043863,505642.00001088437
NW,2020,3679179.1719104135,86704752.16896626
NW,2022,3635430.2223569658,94711403.55775183
NW,2026,3675124.8535070666,100933495.80345646
NW,2030,3629287.917606522,104828402.90695927
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9451799.650470516
SW,2026,397143.1904552827,9422533.787511354
SW,2030,397143.1904552827,9527260.050517073
