line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502863.00349381025,0.0
BANC_to_CAISO,2022,421310.66814061394,0.0
BANC_to_CAISO,2026,544489.1704248888,0.0
BANC_to_CAISO,2030,586550.8316482158,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,379.6058820689121,0.0
IID_to_CAISO,2026,5476.124419723879,0.0
IID_to_CAISO,2030,29480.862071874577,0.0
LDWP_to_CAISO,2020,115044.21841267399,0.0
LDWP_to_CAISO,2022,35000.05880113285,0.0
LDWP_to_CAISO,2026,125132.02338290183,0.0
LDWP_to_CAISO,2030,157504.6340856429,0.0
NW_to_CAISO_Unspecified,2020,4098492.6732264357,0.0
NW_to_CAISO_Unspecified,2022,3034687.5604826533,0.0
NW_to_CAISO_Unspecified,2026,2343214.423535237,0.0
NW_to_CAISO_Unspecified,2030,1811507.3014686855,0.0
SW_to_CAISO,2020,5867609.787119346,0.0
SW_to_CAISO,2022,5457961.3553749565,0.0
SW_to_CAISO,2026,9851038.138353446,0.0
SW_to_CAISO,2030,10378819.177806241,0.0
