resource,technology,zone,timepoint,period,day,hour_of_day,day_weight,period_discount_factor,commit_units,start_units,shut_down_units,fully_operational_units,power_MW,max_rampup_MW,max_rampdown_MW,rampup_dual_$,rampdown_dual_$,max_reserve_ramp_up_MW,max_reserve_ramp_down_MW,reserve_ramp_up_dual_$,reserve_ramp_down_dual_$,min_gen_MW,min_gen_dual_$,max_gen_MW,max_gen_dual_$
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200101,2020,1,0,14.2498665899213,1.47619047619048,4.578759,0,0,4.578759,2437.72,1394.74,1394.74,0,0,232.46,232.46,0,-0.99,749.81,0,2437.72,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200102,2020,1,1,14.2498665899213,1.47619047619048,4.578759,0,0,4.578759,2298.64,1394.74,1394.74,0,0,232.46,232.46,0,-1.00,749.81,0,2437.72,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200103,2020,1,2,14.2498665899213,1.47619047619048,4.578759,0,0,4.578759,2205.26,1394.74,1394.74,0,0,232.46,232.46,0,-1.00,749.81,0,2437.72,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200104,2020,1,3,14.2498665899213,1.47619047619048,4.578759,0,0,4.578759,2437.72,1394.74,1394.74,0,0,232.46,232.46,0,-1.00,749.81,0,2437.72,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200105,2020,1,4,14.2498665899213,1.47619047619048,4.578759,0,0,4.578759,2309.78,1394.74,1394.74,0,0,232.46,232.46,0,-1.00,749.81,0,2437.72,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200106,2020,1,5,14.2498665899213,1.47619047619048,4.578759,0,0,4.578759,2437.72,1394.74,1394.74,0,0,232.46,232.46,0,-0.99,749.81,0,2437.72,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200107,2020,1,6,14.2498665899213,1.47619047619048,4.578759,0,0,4.578759,2437.72,1394.74,1394.74,0,0,232.46,232.46,0,-1.00,749.81,0,2437.72,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200108,2020,1,7,14.2498665899213,1.47619047619048,4.578759,0,0,4.578759,2120.45,1394.74,1394.74,0,0,232.46,232.46,-0.35,-1.30,749.81,0,2437.72,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200109,2020,1,8,14.2498665899213,1.47619047619048,4.578759,0,0,4.578759,1690.21,1394.74,1394.74,0,0,232.46,232.46,-4.26,-4.54,749.81,0,2437.72,0
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200110,2020,1,9,14.2498665899213,1.47619047619048,4.578759,0,0,4.578759,749.81,1394.74,1394.74,0,0,232.46,232.46,-0.14,0,749.81,-11.83,2437.72,0
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200111,2020,1,10,14.2498665899213,1.47619047619048,4.578759,0,0,4.578759,749.81,1394.74,1394.74,0,0,232.46,232.46,-0.14,0,749.81,-12.89,2437.72,0
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200112,2020,1,11,14.2498665899213,1.47619047619048,4.578759,0,0,4.578759,749.81,1394.74,1394.74,0,0,232.46,232.46,-0.14,0,749.81,-13.88,2437.72,0
