timepoint,period,day,hour_of_day,day_weight,period_discount_factor,min_gen_req,spin_req,upward_lf_req,downward_lf_req,upward_reg_req,downward_reg_req,min_local_gen_dual_$,total_fr_dual_$,partial_fr_dual_$,spin_dual_$,upward_lf_dual_$,upward_reg_dual_$,downward_reg_dual_$,max_downward_lf_dual_$,var_renw_down_lf_limit_dual_$,var_renw_down_lf_availability_dual_$,max_variable_upward_lf_dual_$,available_variable_upward_lf_dual_$,upward_reg_violation_mw,downward_reg_violation_mw,upward_lf_reserve_violation_mw,downward_lf_reserve_violation_mw,spin_violation_mw
20200101,2020,1,0,14.2498665899213,1.47619047619048,0,683.30,982.11,984.02,227.77,227.77,,0,0,0,7.57,7.57,-6.44,-6.44,0,0,0,-7.57,0,0,0,0,0
20200102,2020,1,1,14.2498665899213,1.47619047619048,0,642.36,982.11,984.02,214.12,214.12,,0,0,0,7.57,7.57,-6.44,-6.44,0,0,0,-7.57,0,0,0,0,0
20200103,2020,1,2,14.2498665899213,1.47619047619048,0,613.21,982.11,984.02,204.40,204.40,,0,0,0,7.57,7.57,-6.44,-6.44,0,0,0,-7.57,0,0,0,0,0
20200104,2020,1,3,14.2498665899213,1.47619047619048,0,596.59,982.11,984.02,198.86,198.86,,0,0,0,7.57,7.57,-6.44,-6.44,0,0,0,-7.57,0,0,0,0,0
20200105,2020,1,4,14.2498665899213,1.47619047619048,0,592.83,982.11,984.02,197.61,197.61,,0,0,0,7.57,7.57,-6.44,-6.44,0,0,0,-7.57,0,0,0,0,0
20200106,2020,1,5,14.2498665899213,1.47619047619048,0,601.46,982.11,984.02,200.49,200.49,,0,0,0,7.57,7.57,-6.44,-6.44,0,0,0,-7.57,0,0,0,0,0
20200107,2020,1,6,14.2498665899213,1.47619047619048,0,616.09,1011.19,1724.25,205.36,205.36,,0,0,0,7.57,7.57,-6.44,-6.44,0,0,0,-7.57,0,0,0,0,0
20200108,2020,1,7,14.2498665899213,1.47619047619048,0,617.40,2138.78,2702.23,205.80,205.80,,0.14,0,0.14,7.92,7.92,-6.13,-6.13,0,0,0,-7.92,0,0,0,0,0
20200109,2020,1,8,14.2498665899213,1.47619047619048,0,638.62,3152.88,2839.47,212.87,212.87,,3.09,0,3.91,11.69,11.69,-2.90,-2.90,0,0,0,-11.69,0,0,0,0,0
20200110,2020,1,9,14.2498665899213,1.47619047619048,0,661.32,2442.49,2301.11,220.44,220.44,,0,0,0,7.57,7.57,-0.82,-0.82,0,0,0,-7.57,0,0,0,0,0
