transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1077410.2432164976,1149457.1595661798,72046.91634968198,549.2594341494625,321.28135970495237,2092.7399478283583,224.24866607837447,6443.0113860932615,43235599.67938614,47220712.603930496,2654507.1893224097,1886779.4777948356,1077410.2432164976,2784427.977988278,748456.8003725322
BANC_to_CAISO,BANC,CAISO,2022,235292.74109565082,541336.7658054295,306044.0247097788,475.62797052300465,301.84737888611744,1138.1516633897097,1013.9032044576563,6607.945132152637,21025559.28746625,22211365.159647375,10603786.12212512,6865205.645155158,235292.74109565082,1311325.6020357604,3179333.334230203
BANC_to_CAISO,BANC,CAISO,2026,1222119.004893945,1243974.6579762532,21855.653082308207,562.904378472617,134.21226495546577,2209.9218011976564,162.8439330009097,6387.23426580144,42246380.66340908,44896684.08568015,797464.8685049346,544750.0502546354,1222119.004893945,3013386.0220631333,227047.1030200102
BANC_to_CAISO,BANC,CAISO,2030,1201554.19684017,1214863.6460131402,13309.449172970239,651.1819358792504,410.5962676165904,1865.6286040440993,32.41492975625008,6861.956466199656,28007928.656442374,72387416.92044787,535067.776586568,396782.59967940726,1201554.19684017,2942868.3036392415,138264.9223068738
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-397777.18029576034,884.2757175326209,398661.45601329295,54.09,184.45147882772667,16.3482292019342,2161.335103122883,6582.316667675185,33938.50203890199,39323.74115867565,14426175.859221233,9953706.621810738,-397777.18029576034,2811.078011272585,4141489.4218994454
IID_to_CAISO,IID,CAISO,2022,-1202736.2546103369,6517.113025836375,1209253.367636173,92.95504633151728,316.49841471866847,70.11037359492646,3820.7248801263772,4869.164746278674,259588.12994257823,280306.73747874645,41368613.12843547,23081066.678253166,-1202736.2546103369,20716.79919833715,12562328.5893597
IID_to_CAISO,IID,CAISO,2026,-926008.585615664,53914.08006911727,979922.665684781,147.94459668550184,296.502215960734,364.42074450158475,3304.9421317463366,5090.637123752077,2268674.5474240845,2463564.6667626332,34864511.2502985,20863643.32820586,-926008.585615664,171381.07058427107,10179923.031941418
IID_to_CAISO,IID,CAISO,2030,-709811.4310691778,69913.26752621224,779724.69859539,191.59539883854268,314.585774654092,364.900555806813,2478.575833420151,5916.523610773037,2927441.6449731523,5663570.012679024,24343944.621036734,12930955.217319371,-709811.4310691778,222238.38365684275,8100155.484349194
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDWP_to_CAISO,LDWP,CAISO,2020,-207761.60397328244,264657.56085129187,472419.1648245743,617.2655726715834,1185.6726397488349,428.7580136793132,398.4397961014336,7932.802190219261,11416256.779103158,13160767.879823456,14804265.81322936,7149779.252265853,-207761.60397328244,1479855.3155948257,4907721.050397323
