transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1088070.3263410071,1174915.9872198417,86845.66087883443,546.4730212165631,394.278411215845,2149.998154719941,220.26481391924696,6389.737031360808,44193972.88112951,48329276.850857854,3159011.095167684,2221113.757439585,1088070.3263410071,2846099.593400285,902193.70491492
BANC_to_CAISO,BANC,CAISO,2022,254936.22988391327,641775.265683686,386839.035799773,521.084410514212,323.96202169871503,1231.6147878044844,1194.087608699805,6334.2976034957155,24371710.982899707,25929575.012627207,13239412.889078062,8561744.151193948,254936.22988391327,1554626.9822208916,4018673.526504534
BANC_to_CAISO,BANC,CAISO,2026,1221271.3564207167,1243298.9980798634,22027.641659146502,558.9971727435802,135.26842083225446,2224.159725133676,162.8439330009097,6372.996341865419,42437514.13597297,44894100.30101764,802413.918878726,546056.2346233312,1221271.3564207167,3011746.942842747,228832.8549811761
BANC_to_CAISO,BANC,CAISO,2030,1152282.9620037205,1171431.7125485074,19148.750544786762,628.0550754907539,426.8402881214103,1865.1735464969631,44.861628758295886,6849.964824744746,24073095.348394826,65563180.37207723,736741.1201688502,537785.6020085157,1152282.9620037205,2837659.566908739,198926.36729825597
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-433428.49879865575,1339.0834539304303,434767.58225258614,40.955000000000005,188.52154977322053,32.6964584038684,2306.1956724607026,6421.1078691354305,50302.48439449517,56868.729400754084,15677255.864933532,10499064.326982496,-433428.49879865575,4256.588437307607,4516579.088195629
IID_to_CAISO,IID,CAISO,2022,-1202015.4186681248,9197.215752666922,1211212.6344207919,94.5869706405405,314.2289226128358,97.23554618975126,3854.554903315305,4808.20955049492,364893.4699883491,395420.99182746175,41118597.529279076,22478682.999218434,-1202015.4186681248,29235.557069585295,12582682.491486607
IID_to_CAISO,IID,CAISO,2026,-917151.388569105,40597.88144814413,957749.2700172492,117.8668550596802,291.1510187206981,344.4384888999369,3289.5274563199123,5126.0340547801425,1748506.0956319775,1904423.428754706,33704132.028708175,19746015.17160204,-917151.388569105,129051.18039522273,9949577.324401272
IID_to_CAISO,IID,CAISO,2030,-713242.248134814,62359.805928495,775602.0540633089,164.82912835976416,308.138769687654,378.33001089701463,2517.0544259961207,5864.615563106867,2624377.2136049694,5006867.687048113,24594501.77129541,13329716.575832501,-713242.248134814,198226.89923456698,8057333.872015177
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDWP_to_CAISO,LDWP,CAISO,2020,-265086.4562434644,268795.3877282918,533881.8439717562,579.6608292406007,1091.0935727328563,463.7114915638408,489.30894408491946,7806.979564351248,11269251.704605646,12984159.663603596,16673329.396661647,7541395.226686229,-265086.4562434644,1502993.4173840848,5546221.036421645
LDWP_to_CAISO,LDWP,CAISO,2022,-2541645.6348062176,83287.54363986386,2624933.1784460815,517.7794575072169,1163.5960185387964,160.85524914572918,2255.880165130147,6343.264585724131,4921193.262764038,5475658.657194162,78086644.1172051,31211835.332783926,-2541645.6348062176,465709.04453350266,27269085.824922785
LDWP_to_CAISO,LDWP,CAISO,2026,-1383586.6248410556,350785.4466375073,1734372.0714785627,631.1532018760959,1028.2264900502512,555.7849434888415,1686.7607363371867,6517.454320173981,13006190.613812093,15036836.31253761,49958499.28436565,18038110.557178564,-1383586.6248410556,1961449.333327298,18017504.810377926
LDWP_to_CAISO,LDWP,CAISO,2030,-1028784.0942006402,399169.59208980075,1427953.6862904406,556.2456040291341,934.7769742857555,717.6139266511734,1527.587569624842,6514.798503723996,13961174.575175358,30127704.118609656,36522343.672559924,14489770.043600867,-1028784.0942006402,2231995.401788397,14834284.811879154
NW_to_BANC,NW,BANC,2020,4105095.418091882,4130074.700082981,24979.281991098575,997.2744033989761,202.101350923016,4141.362383318562,123.59779821864538,4495.039818462774,98104912.77064651,160752080.76411048,627704.5654105417,567203.1625644456,4105095.418091882,47240908.62024368,60509.45202982182
NW_to_BANC,NW,BANC,2022,1893962.8430992188,2257510.5711163473,363547.7280171269,809.0349280895474,324.4880709827354,2790.374670778709,1120.3731678520462,4849.252161369234,64043985.81688259,97297165.82844262,9469278.15250655,8589427.011061115,1893962.8430992188,27356527.096898552,880652.6080478303
NW_to_BANC,NW,BANC,2026,1003177.5078440978,2197529.6064631864,1194352.0986190853,825.04130224543,672.4916732491457,2663.5389046371333,1776.0102409128267,4320.450854450026,60052481.76538002,98249111.36292133,32843534.11413978,26523371.349821344,1003177.5078440978,30161867.099126384,2893179.6700911643
NW_to_BANC,NW,BANC,2030,-717732.9406830494,1942839.2657150703,2660572.2063981188,657.4971120705826,817.1606971285448,2954.9015958362197,3255.873925100919,2549.2244790628424,55185601.27539935,88576687.77347916,75502521.54174185,19600415.001373008,-717732.9406830494,30537090.02969098,6444927.418199388
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2020,19631866.00536234,19669021.88537507,37155.880012732414,3536.0627513041472,327.4512897894829,5562.407476541776,113.46994551959095,3084.1225779386377,617869706.0558846,798420947.8897563,951197.1714499686,47317.21698746682,19631866.00536234,96610166.3485925,385993.80443831795
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2022,15307594.35881763,17018525.525906157,1710931.1670885207,3272.374828272236,1305.7708213450858,5200.665088507504,1310.28442290208,2249.0504885904315,578573611.5325242,717585758.5546173,50009619.016269155,11446434.850245241,15307594.35881763,83591480.03330702,17773987.35246761
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2026,13826272.794447316,15907535.989673125,2081263.195225805,2819.5219426634276,2168.4020635346087,5641.926650390335,959.8142476553621,2158.259101954316,562758626.407882,699061994.9607677,58261650.11476607,7598611.410659315,13826272.794447316,78134528.5498867,21621180.44546466
