line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502862.99628370086,0.0
BANC_to_CAISO,2022,274679.71762835694,0.0
BANC_to_CAISO,2026,532131.2690701716,0.0
BANC_to_CAISO,2030,509130.3182630345,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,3936.2992705557363,0.0
IID_to_CAISO,2026,17375.876312409975,0.0
IID_to_CAISO,2030,26422.28627499368,0.0
LDWP_to_CAISO,2020,115044.21841267397,0.0
LDWP_to_CAISO,2022,35647.097327271964,0.0
LDWP_to_CAISO,2026,150135.7267487685,0.0
LDWP_to_CAISO,2030,173415.0089530203,0.0
NW_to_CAISO_Unspecified,2020,4182875.7798468657,0.0
NW_to_CAISO_Unspecified,2022,3202503.0387225673,0.0
NW_to_CAISO_Unspecified,2026,2412322.8832707247,0.0
NW_to_CAISO_Unspecified,2030,1845035.3610999414,0.0
SW_to_CAISO,2020,5783225.926053378,0.0
SW_to_CAISO,2022,7924853.4168606615,0.0
SW_to_CAISO,2026,10415830.06070498,0.0
SW_to_CAISO,2030,9149307.3437362,0.0
