transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1088166.1383830318,1174915.4870706934,86749.34868766146,556.1231100565863,381.25752270771636,2112.6895570859197,227.53478559993204,6419.775657314142,44193955.53993638,48329258.29930379,3155705.6607666276,2210733.8911317703,1088166.1383830318,2846099.683681462,901193.3926084528
BANC_to_CAISO,BANC,CAISO,2022,157421.47669239953,623447.911759489,466026.4350670899,514.16498545189,359.78009165001566,1212.5444738551232,1295.3091232197135,6252.146402925165,23602575.299555138,25431004.174159672,15854305.095057538,9686437.338798799,157421.47669239953,1510231.7278038587,4841310.02449813
BANC_to_CAISO,BANC,CAISO,2026,1156176.3612974584,1195786.1246933143,39609.76339585544,546.2816777740095,156.70420443366436,2188.955210004311,252.76771315107214,6318.277076844622,40876607.114190266,42856037.250422,1424485.796810601,984625.2727083017,1156176.3612974584,2896653.904096549,411488.97799380356
BANC_to_CAISO,BANC,CAISO,2030,934676.5155331475,942001.6924242749,7325.176891127387,788.8726966753352,225.9815753484699,1194.1111619077378,32.41492975625008,7533.473908336016,33760155.78206791,83384698.29180433,287115.0310690371,211006.44317022356,934676.5155331475,2281890.457197787,76097.83980718092
BANC_to_CAISO,BANC,CAISO,2045,-598835.3302869578,48064.139630455364,646899.4699174131,279.64938118362454,497.3212926783889,171.87286246449904,1300.7676917138442,7287.359445821673,2574887.2093075705,11675389.316094957,28778712.475109767,16477380.08326735,-598835.3302869578,116429.87892646383,6720315.513712977
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-433428.6670939976,1339.0834539304303,434767.750547928,40.955000000000005,188.52162274852955,32.6964584038684,2306.1956724607026,6421.1078691354305,50302.48439449517,56868.729400754084,15677260.803410735,10499067.516871095,-433428.6670939976,4256.588437307607,4516579.120943894
IID_to_CAISO,IID,CAISO,2022,-1245303.206772671,10606.316830131278,1255909.5236028025,96.70039860676106,317.9011040121775,109.68224519179707,3950.6296384384177,4699.688116369759,416379.5033746128,453799.21018316457,42284368.25234116,21745904.18384446,-1245303.206772671,33714.88471755906,13047010.978601696
IID_to_CAISO,IID,CAISO,2026,-1055572.9553507462,32882.214060086284,1088455.1694108325,132.85168180451717,317.293579361547,247.51070978890863,3430.435534185735,5082.053756025349,1457789.4842967624,1592088.0112157837,38408150.264142066,22675038.640473805,-1055572.9553507462,104525.77092016312,11307408.170580376
IID_to_CAISO,IID,CAISO,2030,-700658.2296837921,7646.637505225328,708304.8671890172,107.14024893088266,315.14840810239315,71.37035410621695,2247.5279867473923,6441.101659146397,316906.05378838594,719654.4511886039,21096525.381912,9905298.062137099,-700658.2296837921,24306.846053241083,7358220.244824807
IID_to_CAISO,IID,CAISO,2045,-1649058.6411241007,1536.3715210994571,1650595.0126452001,64.64333333333333,375.7803677966197,23.766898176137637,4392.4461044184645,4343.786997405385,94420.54999292434,414328.6718101016,60156769.78587364,12822677.666239688,-1649058.6411241007,4883.939129208444,17147187.333475683
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDWP_to_CAISO,LDWP,CAISO,2020,-265182.81830406294,268795.38772829174,533978.2060323549,579.6608292406006,1078.488027695895,463.7114915638408,495.11741653095345,7801.171091905214,11269251.704605646,12984159.663603596,16676636.583821546,7551776.327609553,-265182.81830406294,1502993.128100683,5547221.1919744965
LDWP_to_CAISO,LDWP,CAISO,2022,-2798280.409970751,93710.91453412233,2891991.3245048723,502.12261855884935,1200.2569507947592,186.62954240755698,2409.4768395966535,6163.893617995798,4894763.256664211,5597951.090354619,86393619.88646162,30810567.780717485,-2798280.409970751,523992.7226033676,30043420.016451042
LDWP_to_CAISO,LDWP,CAISO,2026,-1810522.0497681124,348840.20858639607,2159362.2583545083,611.4619855559378,1117.8616790367532,570.5018739132778,1931.6900282467886,6257.808097839944,13168377.805733955,15205823.599963855,63922739.88189124,26172743.45829559,-1810522.0497681124,1950572.428026441,22432508.65569696
LDWP_to_CAISO,LDWP,CAISO,2030,-1231682.3980464274,356366.29206530476,1588048.6901117314,796.7736490508713,1020.2224628453043,447.26164386813446,1556.5709910785665,6756.1673650533085,12069936.746788552,31760947.853025205,42441654.1618121,15748422.088711526,-1231682.3980464274,1992656.521746583,16497423.463666396
LDWP_to_CAISO,LDWP,CAISO,2045,-4622668.39140691,169130.43330667814,4791798.824713586,713.5342466798824,1274.1391504837811,237.03197722275024,3760.8127988957685,4762.155223881483,9232499.411502643,43190698.8160392,180799131.45990738,53881229.2096872,-4622668.39140691,945708.8636469694,49779558.29602872
NW_to_BANC,NW,BANC,2020,4105190.7479580143,4130170.0299491133,24979.281991098575,1000.4949576460417,202.101350923016,4128.126782034516,123.59779821864538,4508.275419746821,98107092.02139077,160755350.59171137,627704.5654105417,567203.1625644456,4105190.7479580143,47242009.40979327,60509.45202982182
NW_to_BANC,NW,BANC,2022,1892818.5815386288,2274457.6553018633,381639.0737632312,808.0054814587295,337.46036831191157,2814.9037444593573,1130.9152410172376,4814.181014523395,64362617.37084877,97673915.43407932,9942666.396037972,9018772.677242821,1892818.5815386288,27561894.00144895,924476.567172883
NW_to_BANC,NW,BANC,2026,947831.6977164423,2167113.744353436,1219282.046636992,804.5832853612994,670.3797044557634,2693.4610546629615,1818.7931981426045,4247.74574719442,59979038.611379035,97737582.32265127,33189827.715317868,26697656.355429765,947831.6977164423,29744401.621559832,2953568.1281740204
