zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,27065990.810481798
IID,2026,729298.2748656464,28468796.464207098
IID,2030,729298.2748656464,27287352.33559021
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,472170.1834584649
LDWP,2026,13199.194695043863,494042.8811947634
LDWP,2030,13199.194695043863,500644.4076714405
NW,2020,3679179.180943576,86704752.16896626
NW,2022,3368758.474260823,92668958.0286898
NW,2026,3675124.8535070666,100989301.07827358
NW,2030,3698433.9278710596,104382980.30710733
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9435377.63897919
SW,2026,397143.1904552827,9429269.90042383
SW,2030,397143.1904552827,9091532.38325225
