line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502862.9572632706,0.0
BANC_to_CAISO,2022,277788.6155444999,0.0
BANC_to_CAISO,2026,533264.8014052721,0.0
BANC_to_CAISO,2030,764455.0607000741,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,3535.321227969747,0.0
IID_to_CAISO,2026,17166.578674066277,0.0
IID_to_CAISO,2030,31147.298723209035,0.0
LDWP_to_CAISO,2020,115043.92912927218,0.0
LDWP_to_CAISO,2022,35130.43965609458,0.0
LDWP_to_CAISO,2026,137363.66717633215,0.0
LDWP_to_CAISO,2030,254693.09895752746,0.0
NW_to_CAISO_Unspecified,2020,4164956.2186379987,0.0
NW_to_CAISO_Unspecified,2022,3113100.6231758194,0.0
NW_to_CAISO_Unspecified,2026,2305890.039221546,0.0
NW_to_CAISO_Unspecified,2030,2283971.814061008,0.0
SW_to_CAISO,2020,5801145.440189807,0.0
SW_to_CAISO,2022,7903274.084425971,0.0
SW_to_CAISO,2026,10283199.549187703,0.0
SW_to_CAISO,2030,11088229.002834393,0.0
