transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1089785.26445891,1174915.8458941868,85130.58143527653,556.8501225955297,407.54332651625526,2109.93191564329,208.88719283661493,6441.18089152009,44193964.73524351,48329268.362963766,3100149.568664777,2209136.776908306,1089785.26445891,2846099.5045299027,884376.7122483525
BANC_to_CAISO,BANC,CAISO,2022,273696.68639562896,649042.0698226531,375345.3834270247,513.4710376726273,329.3646327020881,1264.0285862363703,1139.6043963424768,6356.367017421157,24670432.18238136,26229915.642164577,12936453.256761858,8495358.238111632,273696.68639562896,1572229.5930060598,3899266.1366932597
BANC_to_CAISO,BANC,CAISO,2026,1224666.713335616,1245947.6035207305,21280.890185114473,559.935176348242,135.51846599312827,2225.164012103135,157.0331395737136,6377.8028483231565,42679903.0650852,45101366.95784263,774753.026724441,523918.6034036582,1224666.713335616,3018163.2279010625,221074.59056598434
BANC_to_CAISO,BANC,CAISO,2030,1683069.571368119,1786109.9510410381,103040.37967291898,746.5971757013101,374.7867242370521,2392.334191946641,274.93070861214943,6092.735099441205,51823522.58604383,40173579.44085758,3820419.228815111,2390225.876986001,1683069.571368119,4326645.665955075,1070433.7252293322
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-433428.5151116435,1339.0834539304303,434767.5985655739,40.955000000000005,188.56205513302055,32.6964584038684,2305.7003608645887,6421.603180731545,50302.48439449517,56868.729400754084,15677256.390864259,10499064.68342128,-433428.5151116435,4256.588437307607,4516579.111910731
IID_to_CAISO,IID,CAISO,2022,-1193551.193714339,8260.23686016557,1201811.4305745047,93.68559278894253,312.23334542468825,88.16976670868122,3849.080978009716,4822.749255281579,328840.1204786495,356668.0306992718,41054790.66274688,22858924.933642853,-1193551.193714339,26257.427521774684,12485014.888320796
