period,prm_peak_load_MW,prm_annual_energy_MWh,facet_index,solar_coefficient,solar_elcc_MW_per_fraction_of_annual_load,solar_fraction_of_annual_load,solar_elcc_MW,wind_coefficient,wind_elcc_MW_per_fraction_of_annual_load,wind_fraction_of_annual_load,wind_elcc_MW,facet_intercept_MW,facet_elcc_MW,elcc_surface_facet_dual_$
2020,48687.46,239500340.96,1,1.248933,60807.38,0.218706,13298.91,0.347680,16927.67,0.076633,1297.22,0,14596.13,0
2020,48687.46,239500340.96,2,1.337115,65100.75,0.218706,14237.89,0.307998,14995.65,0.076633,1149.17,0,15387.06,0
2020,48687.46,239500340.96,3,1.337115,65100.75,0.218706,14237.89,0.261540,12733.70,0.076633,975.83,226.20,15439.91,0
2020,48687.46,239500340.96,4,1.380211,67198.98,0.218706,14696.79,0.242146,11789.50,0.076633,903.47,320.62,15920.87,0
2020,48687.46,239500340.96,5,0.973241,47384.62,0.218706,10363.28,0.410038,19963.69,0.076633,1529.88,604.02,12497.18,0
2020,48687.46,239500340.96,6,1.111813,54131.33,0.218706,11838.82,0.347680,16927.67,0.076633,1297.22,300.42,13436.47,0
2020,48687.46,239500340.96,7,1.111813,54131.33,0.218706,11838.82,0.284774,13864.93,0.076633,1062.52,606.70,13508.03,0
2020,48687.46,239500340.96,8,1.163445,56645.19,0.218706,12388.61,0.261540,12733.70,0.076633,975.83,606.70,13971.14,0
2020,48687.46,239500340.96,9,0.512067,24931.23,0.218706,5452.60,0.471368,22949.71,0.076633,1758.71,2624.83,9836.14,0
2020,48687.46,239500340.96,10,0.648356,31566.82,0.218706,6903.84,0.410038,19963.69,0.076633,1529.88,2027.63,10461.35,0
2020,48687.46,239500340.96,11,0.648356,31566.82,0.218706,6903.84,0.318856,15524.27,0.076633,1189.68,2471.57,10565.08,0
2020,48687.46,239500340.96,12,0.724093,35254.24,0.218706,7710.30,0.284774,13864.93,0.076633,1062.52,2305.63,11078.45,0
2020,48687.46,239500340.96,13,0.146671,7141.04,0.218706,1561.78,0.509186,24790.98,0.076633,1899.81,5026.51,8488.10,0
2020,48687.46,239500340.96,14,0.230711,11232.75,0.218706,2456.67,0.471368,22949.71,0.076633,1758.71,4474.12,8689.50,0
2020,48687.46,239500340.96,15,0.230711,11232.75,0.218706,2456.67,0.336967,16406.07,0.076633,1257.25,5128.49,8842.40,0
2020,48687.46,239500340.96,16,0.270959,13192.31,0.218706,2885.23,0.318856,15524.27,0.076633,1189.68,4952.13,9027.03,0
2020,48687.46,239500340.96,17,0.063958,3113.97,0.218706,681.04,0.516611,25152.46,0.076633,1927.52,5751.38,8359.94,0
2020,48687.46,239500340.96,18,0.080457,3917.26,0.218706,856.73,0.509186,24790.98,0.076633,1899.81,5606.78,8363.33,0
2020,48687.46,239500340.96,19,0.080457,3917.26,0.218706,856.73,0.339527,16530.69,0.076633,1266.80,6432.81,8556.34,0
2020,48687.46,239500340.96,20,0.086145,4194.20,0.218706,917.29,0.336967,16406.07,0.076633,1257.25,6395.43,8569.97,0
2020,48687.46,239500340.96,21,0.034771,1692.89,0.218706,370.25,0.519642,25300.05,0.076633,1938.83,6071.12,8380.19,0
2020,48687.46,239500340.96,22,0.041507,2020.87,0.218706,441.98,0.516611,25152.46,0.076633,1927.52,5997.32,8366.82,0
2020,48687.46,239500340.96,23,0.041507,2020.87,0.218706,441.98,0.339969,16552.21,0.076633,1268.45,6857.35,8567.78,0
2020,48687.46,239500340.96,24,0.042489,2068.70,0.218706,452.44,0.339527,16530.69,0.076633,1266.80,6848.74,8567.98,0
2022,49404.11,243381004.67,1,1.248933,61702.43,0.363773,22445.66,0.347680,17176.84,0.118591,2037.02,0,24482.69,0
2022,49404.11,243381004.67,2,1.337115,66059.00,0.363773,24030.46,0.307998,15216.38,0.118591,1804.53,0,25834.99,0
2022,49404.11,243381004.67,3,1.337115,66059.00,0.363773,24030.46,0.261540,12921.13,0.118591,1532.33,229.53,25792.32,0
2022,49404.11,243381004.67,4,1.380211,68188.11,0.363773,24804.97,0.242146,11963.03,0.118591,1418.71,325.34,26549.02,0
