timepoint,period,day,hour_of_day,day_weight,period_discount_factor,min_gen_req,spin_req,upward_lf_req,downward_lf_req,upward_reg_req,downward_reg_req,min_local_gen_dual_$,total_fr_dual_$,partial_fr_dual_$,spin_dual_$,upward_lf_dual_$,upward_reg_dual_$,downward_reg_dual_$,max_downward_lf_dual_$,var_renw_down_lf_limit_dual_$,var_renw_down_lf_availability_dual_$,max_variable_upward_lf_dual_$,available_variable_upward_lf_dual_$,upward_reg_violation_mw,downward_reg_violation_mw,upward_lf_reserve_violation_mw,downward_lf_reserve_violation_mw,spin_violation_mw
20200101,2020,1,0,14.2498665899213,1.47619047619048,0,665.58,982.11,984.02,221.86,221.86,,0,0,0,7.52,7.52,-6.42,-6.42,0,0,0,-7.52,0,0,0,0,0
20200102,2020,1,1,14.2498665899213,1.47619047619048,0,627.93,982.11,984.02,209.31,209.31,,0,0,0,7.52,7.52,-6.39,-6.39,0,0,0,-7.52,0,0,0,0,0
20200103,2020,1,2,14.2498665899213,1.47619047619048,0,602.39,982.11,984.02,200.80,200.80,,0,0,0,7.52,7.52,-6.39,-6.39,0,0,0,-7.52,0,0,0,0,0
20200104,2020,1,3,14.2498665899213,1.47619047619048,0,588.25,982.11,984.02,196.08,196.08,,0,0,0,7.52,7.52,-6.39,-6.39,0,0,0,-7.52,0,0,0,0,0
20200105,2020,1,4,14.2498665899213,1.47619047619048,0,587.01,982.11,984.02,195.67,195.67,,0,0,0,7.52,7.52,-6.39,-6.39,0,0,0,-7.52,0,0,0,0,0
20200106,2020,1,5,14.2498665899213,1.47619047619048,0,597.76,982.11,984.02,199.25,199.25,,0,0,0,7.52,7.52,-6.42,-6.42,0,0,0,-7.52,0,0,0,0,0
20200107,2020,1,6,14.2498665899213,1.47619047619048,0,613.87,1011.19,1724.25,204.62,204.62,,0,0,0,7.52,7.52,-6.39,-6.39,0,0,0,-7.52,0,0,0,0,0
20200108,2020,1,7,14.2498665899213,1.47619047619048,0,615.97,2138.78,2702.23,205.32,205.32,,0.33,0,0.33,7.85,7.85,-6.09,-6.09,0,0,0,-7.85,0,0,0,0,0
20200109,2020,1,8,14.2498665899213,1.47619047619048,0,637.25,3152.88,2839.47,212.42,212.42,,11.73,0.28,11.73,19.52,19.52,0,0,0,0,0,-19.52,0,0,0,0,0
20200110,2020,1,9,14.2498665899213,1.47619047619048,0,660.56,2442.49,2301.11,220.19,220.19,,0,0.28,0,7.79,7.79,0,0,0,0,0,-7.79,0,0,0,0,0
20200111,2020,1,10,14.2498665899213,1.47619047619048,0,675.95,2071.24,2089.36,225.32,225.32,,0,0,0,7.52,7.52,0,0,0,0,0,-7.52,0,0,0,0,0
