zone,contract,period,scheduled_curtailment_mwh_per_year,subhourly_curtailment_mwh_per_year,curtailment_cost_$_per_year
BANC,BANC,2020,0.0,0.0,0.0
BANC,BANC,2022,0.0,0.0,0.0
BANC,BANC,2026,0.0,0.0,0.0
BANC,BANC,2030,505289.2730298042,0.0,30317373.408615533
BANC,BANC,2035,468715.2648114564,0.0,28122924.733373005
BANC,BANC,2040,449136.38847619167,0.0,26948182.603701353
BANC,BANC,2045,434773.2592497453,0.0,26086395.884479046
BANC,CAISO,2020,0.0,0.0,0.0
BANC,CAISO,2022,0.0,0.0,0.0
BANC,CAISO,2026,0.0,0.0,0.0
BANC,CAISO,2030,0.0,0.0,0.0
BANC,CAISO,2035,0.0,0.0,0.0
BANC,CAISO,2040,0.0,0.0,0.0
BANC,CAISO,2045,0.0,0.0,0.0
CAISO,CAISO,2020,230955.45295393217,206733.019632032,0.0
CAISO,CAISO,2022,9326844.362020655,1284730.1125303453,0.0
CAISO,CAISO,2026,5276940.506010984,741205.8977562239,0.0
CAISO,CAISO,2030,6527716.125448032,901618.4921468799,0.0
CAISO,CAISO,2035,8727178.14219094,1166418.9289179612,0.0
CAISO,CAISO,2040,15018777.321429797,1525820.3638059683,0.0
CAISO,CAISO,2045,43582841.0061646,2284250.076167076,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2020,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2022,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2026,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2030,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2035,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2040,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2045,0.0,0.0,0.0
IID,CAISO,2020,0.0,0.0,0.0
IID,CAISO,2022,0.0,0.0,0.0
IID,CAISO,2026,0.0,0.0,0.0
IID,CAISO,2030,0.0,0.0,0.0
IID,CAISO,2035,0.0,0.0,0.0
IID,CAISO,2040,0.0,0.0,0.0
IID,CAISO,2045,0.0,0.0,0.0
IID,IID,2020,0.0,0.0,0.0
IID,IID,2022,0.0,0.0,0.0
IID,IID,2026,0.0,0.0,0.0
IID,IID,2030,0.0,0.0,0.0
IID,IID,2035,0.0,0.0,0.0
IID,IID,2040,0.0,0.0,0.0
IID,IID,2045,0.0,0.0,0.0
LDWP,CAISO,2020,0.0,0.0,0.0
LDWP,CAISO,2022,0.0,0.0,0.0
LDWP,CAISO,2026,0.0,0.0,0.0
LDWP,CAISO,2030,0.0,0.0,0.0
LDWP,CAISO,2035,0.0,0.0,0.0
LDWP,CAISO,2040,0.0,0.0,0.0
LDWP,CAISO,2045,0.0,0.0,0.0
LDWP,LDWP,2020,0.0,0.0,0.0
LDWP,LDWP,2022,0.0,0.0,0.0
LDWP,LDWP,2026,0.0,0.0,0.0
LDWP,LDWP,2030,0.0,0.0,0.0
LDWP,LDWP,2035,0.0,0.0,0.0
LDWP,LDWP,2040,0.0,0.0,0.0
LDWP,LDWP,2045,0.0,0.0,0.0
NW,CAISO,2020,20035.61870045778,0.0,0.0
NW,CAISO,2022,338931.0336215837,0.0,0.0
NW,CAISO,2026,85305.69828309526,0.0,0.0
NW,CAISO,2030,522009.0978462671,0.0,0.0
NW,CAISO,2035,476380.3506147663,0.0,0.0
NW,CAISO,2040,575576.4556078189,0.0,0.0
NW,CAISO,2045,574746.8364355868,0.0,0.0
NW,NW,2020,0.0,0.0,0.0
NW,NW,2022,0.0,0.0,0.0
NW,NW,2026,0.0,0.0,0.0
NW,NW,2030,243965.54372228647,0.0,7431681.400289112
NW,NW,2035,148372.7870497203,0.0,4451285.710879334
NW,NW,2040,67214.60687206141,0.0,2025273.929807476
NW,NW,2045,7281.452007169053,0.0,218443.40665130113
SW,CAISO,2020,0.0,0.0,0.0
SW,CAISO,2022,0.0,0.0,0.0
SW,CAISO,2026,0.0,0.0,0.0
SW,CAISO,2030,0.0,0.0,0.0
SW,CAISO,2035,0.0,0.0,0.0
SW,CAISO,2040,0.0,0.0,0.0
SW,CAISO,2045,0.0,0.0,0.0
SW,SW,2020,0.0,0.0,0.0
SW,SW,2022,0.0,0.0,0.0
SW,SW,2026,0.0,0.0,0.0
SW,SW,2030,0.0,0.0,0.0
SW,SW,2035,0.0,0.0,0.0
SW,SW,2040,0.0,0.0,0.0
SW,SW,2045,0.0,0.0,0.0
