zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
BANC,2035,0.0,0.0
BANC,2040,0.0,0.0
BANC,2045,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO,2035,0.0,0.0
CAISO,2040,0.0,0.0
CAISO,2045,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
CAISO_NW_Hydro,2035,0.0,0.0
CAISO_NW_Hydro,2040,0.0,0.0
CAISO_NW_Hydro,2045,0.0,0.0
IID,2020,729298.2748656464,28200430.43710963
IID,2022,729298.2748656464,26370688.90649164
IID,2026,729298.2748656464,29091884.266592212
IID,2030,729298.2748656464,29904498.86126681
IID,2035,729298.2748656464,31475458.776771616
IID,2040,729298.2748656464,33281604.004881885
IID,2045,729298.2748656464,33078656.660536386
LDWP,2020,13199.194695043863,477024.88623314415
LDWP,2022,13199.194695043863,465120.58893560746
LDWP,2026,13199.194695043863,484197.3181631582
LDWP,2030,13199.194695043863,487583.9584980795
LDWP,2035,13199.194695043863,520783.2233032817
LDWP,2040,13199.194695043863,545402.4468766428
LDWP,2045,13199.194695043863,528722.3968411727
NW,2020,3678398.2459384603,86799719.80282468
NW,2022,3359500.862337454,91402407.25358392
NW,2026,3613127.970960992,98439712.49352333
NW,2030,3176422.244702811,96648875.49572264
NW,2035,3222051.266044946,98460525.36797443
NW,2040,3122854.6963740983,99568518.64816755
NW,2045,3123684.3155463305,101879212.53897457
SW,2020,397143.1904552827,9300382.22794427
SW,2022,397143.1904552827,9332314.828060225
SW,2026,397143.1904552827,9421555.146330329
SW,2030,397143.1904552827,9625145.272906784
SW,2035,397143.1904552827,10262365.937692024
SW,2040,397143.1904552827,10897062.8358069
SW,2045,397143.1904552827,11754617.93975095
