zone,period,timepoint_id,day_id,hour_of_day,day_weight,input_load_mw,hourly_energy_cost_$_per_mwh,unserved_energy_mw,overgeneration_mw,total_generation_mw,unbundled_rps_generation_mw,storage_charging_mw,flexible_ev_load_mw,flexible_load_shift_mw,hydrogen_electrolysis_load_mw,ee_ftm_load_reduction_mw
CAISO,2020,20200101,1,0,14.2498665899213,22186.15,37.59,0,0,14954.93,0,0,0,0,5.79,0
CAISO,2020,20200102,1,1,14.2498665899213,20931.10,37.56,0,0,14261.55,0,0,0,0,5.79,0
CAISO,2020,20200103,1,2,14.2498665899213,20079.75,37.56,0,0,13852.92,0,0,0,0,5.79,0
CAISO,2020,20200104,1,3,14.2498665899213,19608.28,37.56,0,0,12916.17,0,0,0,0,5.79,0
CAISO,2020,20200105,1,4,14.2498665899213,19567.12,37.56,0,0,13563.21,0,0,0,0,5.79,0
CAISO,2020,20200106,1,5,14.2498665899213,19925.38,37.59,0,0,13129.64,0,0,0,0,5.79,0
CAISO,2020,20200107,1,6,14.2498665899213,20462.41,37.59,0,0,13639.88,0,0,0,0,5.79,0
CAISO,2020,20200108,1,7,14.2498665899213,20532.17,37.59,0,0,13086.78,0,0,0,0,5.79,0
CAISO,2020,20200109,1,8,14.2498665899213,21241.83,37.56,0,0,19187.63,0,327.50,0,0,5.79,0
CAISO,2020,20200110,1,9,14.2498665899213,22018.52,25.84,0,0,22718.86,0,155.15,0,0,5.79,0
CAISO,2020,20200111,1,10,14.2498665899213,22531.60,24.36,0,0,25360.95,0,1940.38,0,0,75.26,0
CAISO,2020,20200112,1,11,14.2498665899213,22696.04,23.55,0,0,26841.36,0,2927.44,0,0,92.62,0
CAISO,2020,20200113,1,12,14.2498665899213,22645.96,23.55,0,0,26919.68,0,2719.74,0,0,92.62,0
CAISO,2020,20200114,1,13,14.2498665899213,22418.57,23.55,0,0,26634.74,0,2930.21,0,0,92.62,0
CAISO,2020,20200115,1,14,14.2498665899213,22155.75,24.36,0,0,24953.32,0,1912.06,0,0,92.62,0
CAISO,2020,20200116,1,15,14.2498665899213,22099.20,28.32,0,0,22389.99,0,285.00,0,0,5.79,0
CAISO,2020,20200117,1,16,14.2498665899213,23058.04,37.56,0,0,17623.48,0,0,0,0,5.79,0
CAISO,2020,20200118,1,17,14.2498665899213,27138.75,51.59,0,0,18585.82,0,0,0,0,5.79,0
CAISO,2020,20200119,1,18,14.2498665899213,28017.94,85.01,0,0,18945.08,0,0,0,0,5.79,0
CAISO,2020,20200120,1,19,14.2498665899213,27621.24,49.34,0,0,17558.99,0,0,0,0,5.79,0
CAISO,2020,20200121,1,20,14.2498665899213,26929.49,49.34,0,0,16867.24,0,0,0,0,5.79,0
CAISO,2020,20200122,1,21,14.2498665899213,25722.38,41.79,0,0,15660.12,0,0,0,0,5.79,0
CAISO,2020,20200123,1,22,14.2498665899213,23796.97,37.59,0,0,14856.68,0,0,0,0,5.79,0
CAISO,2020,20200124,1,23,14.2498665899213,21663.05,37.59,0,0,13784.94,0,0,0,0,5.79,0
CAISO,2020,20200201,2,0,5.90752557717969,20288.22,37.43,0,0,14929.08,0,0,0,0,5.79,0
CAISO,2020,20200202,2,1,5.90752557717969,19497.40,37.43,0,0,14028.28,0,0,0,0,5.79,0
CAISO,2020,20200203,2,2,5.90752557717969,19161.53,37.43,0,0,13784.61,0,0,0,0,5.79,0
CAISO,2020,20200204,2,3,5.90752557717969,19113.30,37.43,0,0,13963.39,0,0,0,0,5.79,0
CAISO,2020,20200205,2,4,5.90752557717969,19732.12,37.43,0,0,14649.90,0,0,0,0,5.79,0
CAISO,2020,20200206,2,5,5.90752557717969,21472.83,37.43,0,0,16390.61,0,0,0,0,5.79,0
CAISO,2020,20200207,2,6,5.90752557717969,24004.12,37.56,0,0,18891.25,0,0,0,0,5.79,0
CAISO,2020,20200208,2,7,5.90752557717969,25412.26,37.56,0,0,19920.93,0,0,0,0,5.79,0
CAISO,2020,20200209,2,8,5.90752557717969,26547.21,37.43,0,0,21465.00,0,0,0,0,5.79,0
CAISO,2020,20200210,2,9,5.90752557717969,27253.20,35.31,0,0,22829.15,0,571.32,0,0,92.62,0
CAISO,2020,20200211,2,10,5.90752557717969,27796.00,35.31,0,0,24645.59,0,721.99,0,0,92.62,0
CAISO,2020,20200212,2,11,5.90752557717969,27787.24,35.31,0,0,25297.48,0,0,0,0,92.62,0
CAISO,2020,20200213,2,12,5.90752557717969,27484.04,35.31,0,0,25067.27,0,664.45,0,0,75.26,0
CAISO,2020,20200214,2,13,5.90752557717969,27247.43,35.31,0,0,23728.38,0,0,0,0,92.62,0
CAISO,2020,20200215,2,14,5.90752557717969,27106.56,35.98,0,0,21580.90,0,0,0,0,5.79,0
CAISO,2020,20200216,2,15,5.90752557717969,26810.21,37.43,0,0,21656.54,0,0,0,0,5.79,0
CAISO,2020,20200217,2,16,5.90752557717969,27121.37,37.56,0,0,20728.86,0,0,0,0,5.79,0
CAISO,2020,20200218,2,17,5.90752557717969,30636.39,45.95,0,0,20976.92,0,0,0,0,5.79,0
CAISO,2020,20200219,2,18,5.90752557717969,31183.55,86.85,0,0,21473.50,0,0,0,0,5.79,0
CAISO,2020,20200220,2,19,5.90752557717969,30532.69,45.82,0,0,20470.44,0,0,0,0,5.79,0
CAISO,2020,20200221,2,20,5.90752557717969,29480.22,42.18,0,0,19417.97,0,0,0,0,5.79,0
CAISO,2020,20200222,2,21,5.90752557717969,27818.09,37.56,0,0,17912.23,0,0,0,0,5.79,0
CAISO,2020,20200223,2,22,5.90752557717969,25551.42,37.56,0,0,17673.86,0,0,0,0,5.79,0
CAISO,2020,20200224,2,23,5.90752557717969,23274.03,37.56,0,0,17559.05,0,0,0,0,5.79,0
CAISO,2020,20200301,3,0,28.0221528838783,20655.40,34.73,0,0,15601.64,0,0,0,0,34.23,0
CAISO,2020,20200302,3,1,28.0221528838783,19861.24,35.98,0,0,13218.70,0,0,0,0,5.79,0
