resource,fuel,zone,contract,period,fuel_burn_mmbtu_per_year,ghg_tco2_per_year,pipeline_biogas_mmbtu_per_year,start_fuel_mmbtu_per_year
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2020,29911301.17048218,1585296.731171456,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2022,32743702.90796254,1735415.1802420388,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2026,31662161.206705082,1678097.6683340252,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2030,28189941.480915688,1494067.3270363868,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2035,29178312.261922397,1546451.647776605,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2040,27386178.64144705,1451469.665444222,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2045,26263252.691772316,1391952.257390086,0.0,16096.466472224412
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2020,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2022,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2026,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2030,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2035,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2040,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2045,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
