line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,488663.9017801558,0.0
BANC_to_CAISO,2022,287333.70599475264,0.0
BANC_to_CAISO,2026,363321.37186565704,0.0
BANC_to_CAISO,2030,115165.97724003732,0.0
BANC_to_CAISO,2035,91515.93051530553,0.0
BANC_to_CAISO,2040,21361.05000110987,0.0
BANC_to_CAISO,2045,21266.525410379505,0.0
IID_to_CAISO,2020,378.46150602477667,0.0
IID_to_CAISO,2022,6697.155086047763,0.0
IID_to_CAISO,2026,20857.621170624916,0.0
IID_to_CAISO,2030,0.0,0.0
IID_to_CAISO,2035,2562.8638533268418,0.0
IID_to_CAISO,2040,639.2678574292033,0.0
IID_to_CAISO,2045,126.36067530313177,0.0
LDWP_to_CAISO,2020,116519.23440925281,0.0
LDWP_to_CAISO,2022,52283.24679461818,0.0
LDWP_to_CAISO,2026,90282.21746686069,0.0
LDWP_to_CAISO,2030,593.0976944708772,0.0
LDWP_to_CAISO,2035,14611.146592415907,0.0
LDWP_to_CAISO,2040,103874.97488283983,0.0
LDWP_to_CAISO,2045,93873.10677502754,0.0
NW_to_CAISO_Unspecified,2020,4103185.1462315735,0.0
NW_to_CAISO_Unspecified,2022,2908382.488793902,0.0
NW_to_CAISO_Unspecified,2026,2303061.2554105828,0.0
NW_to_CAISO_Unspecified,2030,740865.7671469876,0.0
NW_to_CAISO_Unspecified,2035,430582.6636904748,0.0
NW_to_CAISO_Unspecified,2040,40673.04262971293,0.0
NW_to_CAISO_Unspecified,2045,20846.462798727105,0.0
SW_to_CAISO,2020,5761171.122625715,0.0
SW_to_CAISO,2022,8753040.228874238,0.0
SW_to_CAISO,2026,9635158.364507083,0.0
SW_to_CAISO,2030,3238341.0558941476,0.0
SW_to_CAISO,2035,3199801.6101565133,0.0
SW_to_CAISO,2040,1476563.0697375177,0.0
SW_to_CAISO,2045,678266.5036072338,0.0
