transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1056938.4171706368,1141739.8523877817,84801.4352171449,544.5802103453505,403.8186666957956,2096.55039000359,209.9987994884532,6453.450810507952,42834799.83092378,46576579.925493225,3084482.8465990475,2160417.899708108,1056938.4171706368,2765732.8501371955,880956.3365173154
BANC_to_CAISO,BANC,CAISO,2022,102584.72440543039,671341.185971897,568756.4615664668,480.6695877251327,397.3923960728841,1396.6791390925243,1431.2212996198186,5932.099561287659,25916211.981682047,27947164.187892754,18509465.428932138,8923276.226847032,102584.72440543039,1626246.610462426,5908522.196658096
BANC_to_CAISO,BANC,CAISO,2026,791641.072687367,848882.7657963395,57241.69310897245,608.8695956049344,258.86365558045514,1394.1947042912254,221.1268050766658,7144.67849063211,27451041.457056165,48362463.92395741,2069786.564840756,1416435.9827322294,791641.072687367,2056319.3773612299,594653.7858915845
BANC_to_CAISO,BANC,CAISO,2030,266798.6272249107,269079.45680202084,2280.829577110072,570.8159308585832,216.64247509454728,471.39444128213006,10.52808123667656,8278.077477481198,9985280.956322262,36040141.50952228,67285.32683372928,43587.507527555645,266798.6272249107,651814.0948945065,23694.522617030554
BANC_to_CAISO,BANC,CAISO,2035,172247.32108842878,213821.90679613664,41574.58570770798,748.6115032559861,254.855947885917,285.62466094382296,163.12974467567972,8311.245594380513,9005569.354889061,31808214.09572867,1756183.5056105242,1324332.5426728902,172247.32108842878,517959.0078219114,431895.9722247225
BANC_to_CAISO,BANC,CAISO,2040,-76159.45983673562,49908.935353103894,126068.3951898395,227.3794431902375,347.8445002494537,219.4962510808309,362.4274499077336,8178.076299011452,1909919.4517375971,8046212.0857077055,4814755.17510548,3011361.4184481734,-76159.45983673562,120898.27939309207,1309660.1500309028
BANC_to_CAISO,BANC,CAISO,2045,-773834.8885104945,49687.75641567656,823522.6449261709,278.0820312818045,641.9278665666689,178.68021240582664,1282.889694960208,7298.430092633985,2825084.0271149566,13278150.161285736,33967397.45461811,7703417.205628216,-773834.8885104945,120363.01363825265,8555160.272978047
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
