zone,contract,period,scheduled_curtailment_mwh_per_year,subhourly_curtailment_mwh_per_year,curtailment_cost_$_per_year
BANC,BANC,2020,0.0,0.0,0.0
BANC,BANC,2022,0.0,0.0,0.0
BANC,BANC,2026,12914.415004383385,0.0,774864.909296166
BANC,BANC,2030,505289.26574997936,0.0,30317373.433961686
BANC,BANC,2035,468715.3570881046,0.0,28122924.80758332
BANC,BANC,2040,450726.4621641047,0.0,27043588.746585753
BANC,BANC,2045,434115.1973758594,0.0,26046911.0730563
BANC,CAISO,2020,0.0,0.0,0.0
BANC,CAISO,2022,0.0,0.0,0.0
BANC,CAISO,2026,0.0,0.0,0.0
BANC,CAISO,2030,0.0,0.0,0.0
BANC,CAISO,2035,0.0,0.0,0.0
BANC,CAISO,2040,0.0,0.0,0.0
BANC,CAISO,2045,0.0,0.0,0.0
CAISO,CAISO,2020,225510.4421760114,204516.0298387605,0.0
CAISO,CAISO,2022,12205723.078175167,1409794.4327725898,0.0
CAISO,CAISO,2026,6291747.655820037,867453.640717536,0.0
CAISO,CAISO,2030,7089820.111255421,835099.2226020265,0.0
CAISO,CAISO,2035,9848648.631656261,1102307.8122346983,0.0
CAISO,CAISO,2040,30541836.37250934,1809551.7537609655,0.0
CAISO,CAISO,2045,65640519.67100661,2427903.01351615,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2020,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2022,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2026,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2030,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2035,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2040,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2045,0.0,0.0,0.0
IID,CAISO,2020,0.0,0.0,0.0
IID,CAISO,2022,0.0,0.0,0.0
IID,CAISO,2026,0.0,0.0,0.0
IID,CAISO,2030,0.0,0.0,0.0
IID,CAISO,2035,0.0,0.0,0.0
IID,CAISO,2040,0.0,0.0,0.0
IID,CAISO,2045,0.0,0.0,0.0
IID,IID,2020,0.0,0.0,0.0
IID,IID,2022,0.0,0.0,0.0
IID,IID,2026,0.0,0.0,0.0
IID,IID,2030,0.0,0.0,0.0
IID,IID,2035,0.0,0.0,0.0
IID,IID,2040,0.0,0.0,0.0
IID,IID,2045,0.0,0.0,0.0
LDWP,CAISO,2020,0.0,0.0,0.0
LDWP,CAISO,2022,0.0,0.0,0.0
LDWP,CAISO,2026,0.0,0.0,0.0
LDWP,CAISO,2030,0.0,0.0,0.0
LDWP,CAISO,2035,0.0,0.0,0.0
LDWP,CAISO,2040,0.0,0.0,0.0
LDWP,CAISO,2045,0.0,0.0,0.0
LDWP,LDWP,2020,0.0,0.0,0.0
LDWP,LDWP,2022,0.0,0.0,0.0
LDWP,LDWP,2026,0.0,0.0,0.0
LDWP,LDWP,2030,0.0,0.0,0.0
LDWP,LDWP,2035,0.0,0.0,0.0
LDWP,LDWP,2040,0.0,0.0,0.0
LDWP,LDWP,2045,0.0,0.0,0.0
NW,CAISO,2020,20031.86993782507,0.0,0.0
NW,CAISO,2022,341541.4865412463,0.0,0.0
NW,CAISO,2026,159486.99972482483,0.0,0.0
NW,CAISO,2030,481380.7537303657,0.0,0.0
NW,CAISO,2035,462037.31534960115,0.0,0.0
NW,CAISO,2040,577300.1692972819,0.0,0.0
NW,CAISO,2045,574746.8364355868,0.0,0.0
NW,NW,2020,0.0,0.0,0.0
NW,NW,2022,0.0,0.0,0.0
NW,NW,2026,2317.2863299561886,0.0,69518.56279919675
NW,NW,2030,243965.54372228647,0.0,8367451.185438399
NW,NW,2035,148166.76200344632,0.0,5101489.216397797
NW,NW,2040,69305.36824365273,0.0,2475199.3208386186
NW,NW,2045,7281.452007169053,0.0,218443.40665130113
SW,CAISO,2020,0.0,0.0,0.0
SW,CAISO,2022,0.0,0.0,0.0
SW,CAISO,2026,0.0,0.0,0.0
SW,CAISO,2030,0.0,0.0,0.0
SW,CAISO,2035,0.0,0.0,0.0
SW,CAISO,2040,0.0,0.0,0.0
SW,CAISO,2045,0.0,0.0,0.0
SW,SW,2020,0.0,0.0,0.0
SW,SW,2022,0.0,0.0,0.0
SW,SW,2026,0.0,0.0,0.0
SW,SW,2030,0.0,0.0,0.0
SW,SW,2035,0.0,0.0,0.0
SW,SW,2040,0.0,0.0,0.0
SW,SW,2045,0.0,0.0,0.0
