zone,contract,resource,period,net_energy_mwh_per_year,net_subhourly_energy_mwh_per_year,scheduled_curtailment_mwh_per_year,units_started_per_year,units_shut_down_per_year
BANC,BANC,BANC_Biomass_for_Other,2020,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2022,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2026,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2030,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2035,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2040,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2045,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2020,4026795.679659162,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2022,4277111.841360419,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2026,4169839.043174717,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2030,3813544.9444208574,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2035,3993136.7381073646,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2040,3453253.794965808,0.0,0.0,12.159555920675379,12.159555920675379
BANC,BANC,BANC_CCGT,2045,3508118.858289403,0.0,0.0,21.103555219146294,21.103555219146294
BANC,BANC,BANC_Geothermal_for_Other,2020,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2022,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2026,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2030,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2035,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2040,0.0,0.0,0.0,0.0,0.0
