zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
BANC,2035,0.0,0.0
BANC,2040,0.0,0.0
BANC,2045,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO,2035,0.0,0.0
CAISO,2040,0.0,0.0
CAISO,2045,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
CAISO_NW_Hydro,2035,0.0,0.0
CAISO_NW_Hydro,2040,0.0,0.0
CAISO_NW_Hydro,2045,0.0,0.0
IID,2020,729298.2748656464,28203361.406796224
IID,2022,729298.2748656464,26246708.970308453
IID,2026,729298.2748656464,29189790.485853426
IID,2030,729298.2748656464,29242442.151370376
IID,2035,729298.2748656464,31293192.806364723
IID,2040,729298.2748656464,31547367.94164274
IID,2045,729298.2748656464,32502888.79904771
LDWP,2020,13199.194695043863,477113.1595849575
LDWP,2022,13199.194695043863,464225.606095052
LDWP,2026,13199.194695043863,483149.7759710886
LDWP,2030,13199.194695043863,482022.2844709916
LDWP,2035,13199.194695043863,514484.18980682956
LDWP,2040,13199.194695043863,527717.4317650001
LDWP,2045,13199.194695043863,528190.2946293529
NW,2020,3678402.003734256,86809930.75779599
NW,2022,3356890.4094177918,91635707.00624299
NW,2026,3538945.9602052425,98195444.86278605
NW,2030,3217050.646903436,96482418.38289842
NW,2035,3236394.243225387,98233995.29843688
NW,2040,3121130.982684635,99021250.6578944
NW,2045,3123684.3155463305,101870399.53204499
SW,2020,397143.1904552827,9303221.234364081
SW,2022,397143.1904552827,9328135.163461998
SW,2026,397143.1904552827,9396341.18766921
SW,2030,397143.1904552827,9630517.334515734
SW,2035,397143.1904552827,10256881.166566703
SW,2040,397143.1904552827,10953968.450895986
SW,2045,397143.1904552827,11723610.402401049
