resource,fuel,zone,contract,period,fuel_burn_mmbtu_per_year,ghg_tco2_per_year,pipeline_biogas_mmbtu_per_year,start_fuel_mmbtu_per_year
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2020,29911301.324095584,1585296.731171456,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2022,32165179.898576178,1704750.295899422,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2026,31161725.064988684,1651576.3946043712,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2030,28319113.689176664,1500914.3091050007,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2035,29643325.372455984,1571094.6775452401,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2040,25590572.200015415,1356301.3357876616,0.0,14178.800825832586
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2045,26001253.578252375,1378064.7568195036,0.0,24608.077873258735
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2020,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2022,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2026,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2030,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2035,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2040,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2045,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2020,400430511.46061563,21222817.577992585,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2022,146830228.29525357,7782003.93563966,0.0,3052229.9589537326
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2026,268719092.2964097,14242109.618291087,0.0,5425613.091349243
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2030,269309126.88953555,14273384.441560395,0.0,4118996.2902560923
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2035,288440901.6600382,15287369.92958357,0.0,1373182.5775593661
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2040,279574365.5288695,14817442.397892732,0.0,3070497.4906415083
