period,resource,zone,contract,technology,planned_energy_capacity_mwh,new_build_mwh,cumulative_new_build_mwh,total_energy_capacity_mwh
2020,CAISO_Existing_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,252821.12,,,252821.12
2020,CAISO_New_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,0,0,0,0
2020,CAISO_New_Flow_Battery,CAISO,CAISO,Flow_Battery,0,0,0,0
2020,CAISO_New_Flow_Battery_2,CAISO,CAISO,Flow_Battery,0,0,0,0
2020,CAISO_New_Flow_Battery_3,CAISO,CAISO,Flow_Battery,0,0,0,0
2020,CAISO_New_Flow_Battery_4,CAISO,CAISO,Flow_Battery,0,0,0,0
2020,CAISO_New_Flow_Battery_5,CAISO,CAISO,Flow_Battery,0,0,0,0
2020,CAISO_New_Li_Battery,CAISO,CAISO,Li_Battery,3332.84,833.21,833.21,4166.05
2020,CAISO_BTM_Li_Battery,CAISO,CAISO,BTM_Li_Battery,1804.97,0,0,1804.97
2020,CAISO_New_Li_Battery_2,CAISO,CAISO,Li_Battery,0,0,0,0
2020,CAISO_New_Li_Battery_3,CAISO,CAISO,Li_Battery,0,0,0,0
2020,CAISO_New_Li_Battery_4,CAISO,CAISO,Li_Battery,0,0,0,0
2020,CAISO_New_Li_Battery_5,CAISO,CAISO,Li_Battery,0,0,0,0
2020,CAISO_New_Li_Battery_6,CAISO,CAISO,Li_Battery,0,0,0,0
2022,CAISO_Existing_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,252821.12,,,252821.12
2022,CAISO_New_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,0,0,0,0
2022,CAISO_New_Flow_Battery,CAISO,CAISO,Flow_Battery,0,0,0,0
2022,CAISO_New_Flow_Battery_2,CAISO,CAISO,Flow_Battery,0,0,0,0
2022,CAISO_New_Flow_Battery_3,CAISO,CAISO,Flow_Battery,0,0,0,0
2022,CAISO_New_Flow_Battery_4,CAISO,CAISO,Flow_Battery,0,0,0,0
2022,CAISO_New_Flow_Battery_5,CAISO,CAISO,Flow_Battery,0,0,0,0
2022,CAISO_New_Li_Battery,CAISO,CAISO,Li_Battery,5128.17,991.60,1824.81,6952.98
2022,CAISO_BTM_Li_Battery,CAISO,CAISO,BTM_Li_Battery,2355.89,0,0,2355.89
2022,CAISO_New_Li_Battery_2,CAISO,CAISO,Li_Battery,0,0,0,0
2022,CAISO_New_Li_Battery_3,CAISO,CAISO,Li_Battery,0,0,0,0
2022,CAISO_New_Li_Battery_4,CAISO,CAISO,Li_Battery,0,0,0,0
2022,CAISO_New_Li_Battery_5,CAISO,CAISO,Li_Battery,0,0,0,0
2022,CAISO_New_Li_Battery_6,CAISO,CAISO,Li_Battery,0,0,0,0
2026,CAISO_Existing_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,252821.12,,,252821.12
2026,CAISO_New_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,0,5455.97,5455.97,5455.97
2026,CAISO_New_Flow_Battery,CAISO,CAISO,Flow_Battery,0,0,0,0
2026,CAISO_New_Flow_Battery_2,CAISO,CAISO,Flow_Battery,0,0,0,0
2026,CAISO_New_Flow_Battery_3,CAISO,CAISO,Flow_Battery,0,0,0,0
2026,CAISO_New_Flow_Battery_4,CAISO,CAISO,Flow_Battery,0,0,0,0
2026,CAISO_New_Flow_Battery_5,CAISO,CAISO,Flow_Battery,0,0,0,0
2026,CAISO_New_Li_Battery,CAISO,CAISO,Li_Battery,5917.24,10133.17,11957.98,17875.22
2026,CAISO_BTM_Li_Battery,CAISO,CAISO,BTM_Li_Battery,3301.05,0,0,3301.05
2026,CAISO_New_Li_Battery_2,CAISO,CAISO,Li_Battery,0,0,0,0
2026,CAISO_New_Li_Battery_3,CAISO,CAISO,Li_Battery,0,0,0,0
2026,CAISO_New_Li_Battery_4,CAISO,CAISO,Li_Battery,0,0,0,0
2026,CAISO_New_Li_Battery_5,CAISO,CAISO,Li_Battery,0,0,0,0
2026,CAISO_New_Li_Battery_6,CAISO,CAISO,Li_Battery,0,0,0,0
2030,CAISO_Existing_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,252821.12,,,252821.12
2030,CAISO_New_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,0,0,5455.97,5455.97
2030,CAISO_New_Flow_Battery,CAISO,CAISO,Flow_Battery,0,0,0,0
2030,CAISO_New_Flow_Battery_2,CAISO,CAISO,Flow_Battery,0,0,0,0
2030,CAISO_New_Flow_Battery_3,CAISO,CAISO,Flow_Battery,0,0,0,0
2030,CAISO_New_Flow_Battery_4,CAISO,CAISO,Flow_Battery,0,0,0,0
2030,CAISO_New_Flow_Battery_5,CAISO,CAISO,Flow_Battery,0,0,0,0
2030,CAISO_New_Li_Battery,CAISO,CAISO,Li_Battery,5917.24,15878.32,27836.29,33753.53
2030,CAISO_BTM_Li_Battery,CAISO,CAISO,BTM_Li_Battery,4117.66,0,0,4117.66
2030,CAISO_New_Li_Battery_2,CAISO,CAISO,Li_Battery,0,24587.50,24587.50,24587.50
2030,CAISO_New_Li_Battery_3,CAISO,CAISO,Li_Battery,0,19891.20,19891.20,19891.20
2030,CAISO_New_Li_Battery_4,CAISO,CAISO,Li_Battery,0,4242.09,4242.09,4242.09
2030,CAISO_New_Li_Battery_5,CAISO,CAISO,Li_Battery,0,15476.93,15476.93,15476.93
2030,CAISO_New_Li_Battery_6,CAISO,CAISO,Li_Battery,0,0,0,0
2035,CAISO_Existing_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,252821.12,,,252821.12
2035,CAISO_New_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,0,0,5455.97,5455.97
2035,CAISO_New_Flow_Battery,CAISO,CAISO,Flow_Battery,0,0,0,0
2035,CAISO_New_Flow_Battery_2,CAISO,CAISO,Flow_Battery,0,0,0,0
2035,CAISO_New_Flow_Battery_3,CAISO,CAISO,Flow_Battery,0,0,0,0
2035,CAISO_New_Flow_Battery_4,CAISO,CAISO,Flow_Battery,0,0,0,0
2035,CAISO_New_Flow_Battery_5,CAISO,CAISO,Flow_Battery,0,0,0,0
2035,CAISO_New_Li_Battery,CAISO,CAISO,Li_Battery,5917.24,28738.52,56574.82,62492.06
2035,CAISO_BTM_Li_Battery,CAISO,CAISO,BTM_Li_Battery,4117.66,0,0,4117.66
2035,CAISO_New_Li_Battery_2,CAISO,CAISO,Li_Battery,0,10686.19,35273.69,35273.69
2035,CAISO_New_Li_Battery_3,CAISO,CAISO,Li_Battery,0,13497.14,33388.34,33388.34
2035,CAISO_New_Li_Battery_4,CAISO,CAISO,Li_Battery,0,28279.63,32521.73,32521.73
2035,CAISO_New_Li_Battery_5,CAISO,CAISO,Li_Battery,0,28171.02,43647.96,43647.96
2035,CAISO_New_Li_Battery_6,CAISO,CAISO,Li_Battery,0,0,0,0
2040,CAISO_Existing_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,252821.12,,,252821.12
2040,CAISO_New_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,0,0,5455.97,5455.97
2040,CAISO_New_Flow_Battery,CAISO,CAISO,Flow_Battery,0,0,0,0
2040,CAISO_New_Flow_Battery_2,CAISO,CAISO,Flow_Battery,0,0,0,0
2040,CAISO_New_Flow_Battery_3,CAISO,CAISO,Flow_Battery,0,0,0,0
2040,CAISO_New_Flow_Battery_4,CAISO,CAISO,Flow_Battery,0,0,0,0
2040,CAISO_New_Flow_Battery_5,CAISO,CAISO,Flow_Battery,0,0,0,0
2040,CAISO_New_Li_Battery,CAISO,CAISO,Li_Battery,5917.24,2550.09,59124.90,65042.14
2040,CAISO_BTM_Li_Battery,CAISO,CAISO,BTM_Li_Battery,4117.66,0,0,4117.66
2040,CAISO_New_Li_Battery_2,CAISO,CAISO,Li_Battery,0,2298.22,37571.91,37571.91
2040,CAISO_New_Li_Battery_3,CAISO,CAISO,Li_Battery,0,1466.14,34854.47,34854.47
2040,CAISO_New_Li_Battery_4,CAISO,CAISO,Li_Battery,0,8690.48,41212.21,41212.21
2040,CAISO_New_Li_Battery_5,CAISO,CAISO,Li_Battery,0,91583.00,135230.96,135230.96
2040,CAISO_New_Li_Battery_6,CAISO,CAISO,Li_Battery,0,0,0,0
2045,CAISO_Existing_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,252821.12,,,252821.12
2045,CAISO_New_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,0,0,5455.97,5455.97
2045,CAISO_New_Flow_Battery,CAISO,CAISO,Flow_Battery,0,0,0,0
2045,CAISO_New_Flow_Battery_2,CAISO,CAISO,Flow_Battery,0,0,0,0
2045,CAISO_New_Flow_Battery_3,CAISO,CAISO,Flow_Battery,0,0,0,0
2045,CAISO_New_Flow_Battery_4,CAISO,CAISO,Flow_Battery,0,0,0,0
2045,CAISO_New_Flow_Battery_5,CAISO,CAISO,Flow_Battery,0,0,0,0
2045,CAISO_New_Li_Battery,CAISO,CAISO,Li_Battery,5917.24,0,59124.90,65042.14
2045,CAISO_BTM_Li_Battery,CAISO,CAISO,BTM_Li_Battery,4117.66,0,0,4117.66
2045,CAISO_New_Li_Battery_2,CAISO,CAISO,Li_Battery,0,0,37571.91,37571.91
2045,CAISO_New_Li_Battery_3,CAISO,CAISO,Li_Battery,0,0,34854.47,34854.47
2045,CAISO_New_Li_Battery_4,CAISO,CAISO,Li_Battery,0,0,41212.21,41212.21
2045,CAISO_New_Li_Battery_5,CAISO,CAISO,Li_Battery,0,140792.43,276023.39,276023.39
2045,CAISO_New_Li_Battery_6,CAISO,CAISO,Li_Battery,0,0,0,0
