transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1055930.9936198604,1141405.1221489646,85474.12852910414,550.4714594604432,402.3005040033388,2073.5046341326,212.4633891296213,6474.031976737774,42852576.08232715,46587780.18457427,3107569.681065489,2176515.450663293,1055930.9936198604,2764922.9609648325,887944.5654306645
BANC_to_CAISO,BANC,CAISO,2022,45926.391896305475,685774.4976837195,639848.105787414,474.5597075235144,409.2815873498509,1445.0752704278827,1563.3444688545849,5751.580260717534,26315508.05556889,28592173.65147027,20406682.395229653,7810847.492843305,45926.391896305475,1661208.0099732727,6647050.84496355
BANC_to_CAISO,BANC,CAISO,2026,620297.350216755,697405.1186755956,77107.76845884071,536.9652801451748,280.26235318652306,1298.7899673644524,275.127099955245,7186.082932680309,23861389.752667673,51693225.90279044,2778017.8038467807,1889483.799587535,620297.350216755,1689382.469155971,801034.9615747038
BANC_to_CAISO,BANC,CAISO,2030,42651.95274216387,63713.15535621986,21061.202614055997,256.0551108091117,185.4016340234692,248.8259467069096,113.59771840732509,8397.576334885782,2348683.4266231162,9816134.97142342,849621.1279483975,630795.2327883557,42651.95274216387,154337.42659379813,218793.7635458196
BANC_to_CAISO,BANC,CAISO,2035,-55792.22634051083,47833.38310702782,103625.60944753866,224.12048255625064,293.68189635414507,213.42709314853633,352.8498376439882,8193.723069207499,1803457.5804328588,7482170.264571979,4179156.045915355,2956978.1309121265,-55792.22634051083,115870.36657308946,1076512.858993901
BANC_to_CAISO,BANC,CAISO,2040,-399941.5638052091,41974.350441762086,441915.91424697137,272.26155679326126,441.55796363044544,154.16921483937168,1000.8106537442625,7605.020131416384,2205266.1123768333,10981505.810688252,20956893.54561052,12635341.997124426,-399941.5638052091,101678.35051818968,4590841.792172359
BANC_to_CAISO,BANC,CAISO,2045,-805682.7540594852,40346.907836399616,846029.6618958848,313.9383238513168,619.8202537029701,128.51858078820658,1364.959690880509,7266.521728331308,2299840.507259855,12082970.926603936,34927875.71161042,4252320.708574999,-805682.7540594852,97735.83776898737,8788977.938794447
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-419419.4965661992,884.2757175326209,420303.7722837318,54.09,185.59335949957645,16.3482292019342,2264.6487644655786,6479.0030063324875,33938.50203890199,38881.60329990934,15169046.200501924,10078148.063142275,-419419.4965661992,2811.078011272585,4366319.335116404
