zone,contract,period,scheduled_curtailment_mwh_per_year,subhourly_curtailment_mwh_per_year,curtailment_cost_$_per_year
BANC,BANC,2020,0.0,0.0,0.0
BANC,BANC,2022,0.0,0.0,0.0
BANC,BANC,2026,12623.619422040707,0.0,757417.0840239758
BANC,BANC,2030,499711.0500908694,0.0,29982679.075886056
BANC,BANC,2035,468046.96741104044,0.0,28082828.971318804
BANC,BANC,2040,448026.62384025357,0.0,26881605.942654096
BANC,BANC,2045,433046.0719853836,0.0,25982761.779368002
BANC,CAISO,2020,0.0,0.0,0.0
BANC,CAISO,2022,0.0,0.0,0.0
BANC,CAISO,2026,0.0,0.0,0.0
BANC,CAISO,2030,0.0,0.0,0.0
BANC,CAISO,2035,0.0,0.0,0.0
BANC,CAISO,2040,0.0,0.0,0.0
BANC,CAISO,2045,0.0,0.0,0.0
CAISO,CAISO,2020,226367.90113049437,203594.02997603535,0.0
CAISO,CAISO,2022,9822485.237523526,1278271.9398613847,0.0
CAISO,CAISO,2026,5499037.379385459,780248.6272730563,0.0
CAISO,CAISO,2030,7000696.456174226,858810.0841161958,0.0
CAISO,CAISO,2035,10332505.829014802,1115606.592355033,0.0
CAISO,CAISO,2040,13141650.21795497,1380863.5780037441,0.0
CAISO,CAISO,2045,35884343.17160434,2178093.0762266414,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2020,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2022,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2026,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2030,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2035,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2040,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2045,0.0,0.0,0.0
IID,CAISO,2020,0.0,0.0,0.0
IID,CAISO,2022,0.0,0.0,0.0
IID,CAISO,2026,0.0,0.0,0.0
IID,CAISO,2030,0.0,0.0,0.0
IID,CAISO,2035,0.0,0.0,0.0
IID,CAISO,2040,0.0,0.0,0.0
IID,CAISO,2045,0.0,0.0,0.0
IID,IID,2020,0.0,0.0,0.0
IID,IID,2022,0.0,0.0,0.0
IID,IID,2026,0.0,0.0,0.0
IID,IID,2030,0.0,0.0,0.0
IID,IID,2035,0.0,0.0,0.0
IID,IID,2040,0.0,0.0,0.0
IID,IID,2045,0.0,0.0,0.0
LDWP,CAISO,2020,0.0,0.0,0.0
LDWP,CAISO,2022,0.0,0.0,0.0
LDWP,CAISO,2026,0.0,0.0,0.0
LDWP,CAISO,2030,0.0,0.0,0.0
LDWP,CAISO,2035,0.0,0.0,0.0
LDWP,CAISO,2040,0.0,0.0,0.0
LDWP,CAISO,2045,0.0,0.0,0.0
LDWP,LDWP,2020,0.0,0.0,0.0
LDWP,LDWP,2022,0.0,0.0,0.0
LDWP,LDWP,2026,0.0,0.0,0.0
LDWP,LDWP,2030,0.0,0.0,0.0
LDWP,LDWP,2035,0.0,0.0,0.0
LDWP,LDWP,2040,0.0,0.0,0.0
LDWP,LDWP,2045,0.0,0.0,0.0
NW,CAISO,2020,20031.860904662102,0.0,0.0
NW,CAISO,2022,344870.2972339918,0.0,0.0
NW,CAISO,2026,250954.99313180058,0.0,0.0
NW,CAISO,2030,499300.72581075254,0.0,0.0
NW,CAISO,2035,473595.94317831093,0.0,0.0
NW,CAISO,2040,575576.4556078189,0.0,0.0
NW,CAISO,2045,574746.8364355868,0.0,0.0
NW,NW,2020,0.0,0.0,0.0
NW,NW,2022,0.0,0.0,0.0
NW,NW,2026,7902.8071552500505,0.0,349134.72974921385
NW,NW,2030,243965.54372228647,0.0,7319067.217286253
NW,NW,2035,148372.78704972035,0.0,4451285.524517666
NW,NW,2040,69143.73452386903,0.0,2194986.5523940907
NW,NW,2045,7281.442974006083,0.0,218443.40665130113
SW,CAISO,2020,0.0,0.0,0.0
SW,CAISO,2022,0.0,0.0,0.0
SW,CAISO,2026,0.0,0.0,0.0
SW,CAISO,2030,0.0,0.0,0.0
SW,CAISO,2035,0.0,0.0,0.0
SW,CAISO,2040,0.0,0.0,0.0
SW,CAISO,2045,0.0,0.0,0.0
SW,SW,2020,0.0,0.0,0.0
SW,SW,2022,0.0,0.0,0.0
SW,SW,2026,0.0,0.0,0.0
SW,SW,2030,0.0,0.0,0.0
SW,SW,2035,0.0,0.0,0.0
SW,SW,2040,0.0,0.0,0.0
SW,SW,2045,0.0,0.0,0.0
