zone,contract,resource,period,net_energy_mwh_per_year,net_subhourly_energy_mwh_per_year,scheduled_curtailment_mwh_per_year,units_started_per_year,units_shut_down_per_year
BANC,BANC,BANC_Biomass_for_Other,2020,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2022,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2026,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2030,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2035,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2040,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2045,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2020,4026795.5260457587,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2022,4332976.239766999,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2026,4194906.631906288,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2030,3977345.401269693,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2035,3895564.768515843,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2040,3682136.633946035,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2045,3153671.390280809,0.0,0.0,25.444739703037754,25.444739703037754
BANC,BANC,BANC_Geothermal_for_Other,2020,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2022,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2026,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2030,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2035,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2040,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2045,0.0,0.0,0.0,0.0,0.0
