zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
BANC,2035,0.0,0.0
BANC,2040,0.0,0.0
BANC,2045,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO,2035,0.0,0.0
CAISO,2040,0.0,0.0
CAISO,2045,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
CAISO_NW_Hydro,2035,0.0,0.0
CAISO_NW_Hydro,2040,0.0,0.0
CAISO_NW_Hydro,2045,0.0,0.0
IID,2020,729298.2748656464,28203361.406796224
IID,2022,729298.2748656464,26367445.735316783
IID,2026,729298.2748656464,29596477.043218724
IID,2030,729298.2748656464,30009648.818044677
IID,2035,729298.2748656464,31680514.70062982
IID,2040,729298.2748656464,34191787.26455608
IID,2045,729298.2748656464,35309137.603789724
LDWP,2020,13199.194695043863,477113.1595849575
LDWP,2022,13199.194695043863,465719.5439583266
LDWP,2026,13199.194695043863,483172.6092075599
LDWP,2030,13199.194695043863,489303.4265199984
LDWP,2035,13199.194695043863,518917.2048411479
LDWP,2040,13199.194695043863,555511.958318874
LDWP,2045,13199.194695043863,580109.4260520847
NW,2020,3678402.003734256,86809930.75779599
NW,2022,3353561.598725046,91390642.52881646
NW,2026,3447477.080155743,98574676.8054354
NW,2030,3199130.707449025,96811276.64103228
NW,2035,3224835.557311952,98432185.19403386
NW,2040,3122854.6963740983,99702626.8632507
NW,2045,3123684.3155463305,102173532.8551599
SW,2020,397143.1904552827,9303221.234364081
SW,2022,397143.1904552827,9333054.905306904
SW,2026,397143.1904552827,9449729.079805134
SW,2030,397143.1904552827,9654307.437615143
SW,2035,397143.1904552827,10298044.484051349
SW,2040,397143.1904552827,11009088.279039547
SW,2045,397143.1904552827,11732873.881694686
