resource,fuel,zone,contract,period,fuel_burn_mmbtu_per_year,ghg_tco2_per_year,pipeline_biogas_mmbtu_per_year,start_fuel_mmbtu_per_year
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2020,29911301.324095584,1585296.731171456,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2022,32544147.89366394,1724842.4991163695,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2026,31324781.217037644,1660218.5185160278,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2030,29561711.312761467,1566770.829283733,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2035,28900797.147329386,1531740.6330424529,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2040,27297015.969312657,1446739.123141125,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2045,23398775.642465565,1240134.8404823288,0.0,29670.1312705488
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2020,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2022,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2026,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2030,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2035,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2040,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2045,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2020,400430510.71469945,21222817.693736423,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2022,166773164.0266039,8838974.917729182,0.0,2028267.8863727814
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2026,274437299.49647206,14545177.244735839,0.0,4242567.022906352
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2030,245765072.45926175,13025548.532641498,0.0,4500816.413228495
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2035,274319305.7252513,14538926.118823394,0.0,3134935.122691664
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2040,257440034.40344232,13644322.208334379,0.0,885001.0829060095
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2045,194335272.03683117,10299768.157891514,0.0,1855418.5732735053
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2020,1322092.3892244338,70071.57419759688,0.0,65818.255494762
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2022,264469.96664456703,14016.902596230484,0.0,50347.364496247246
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2020,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2022,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2026,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2030,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2035,41380653.50750686,2193173.04014964,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2020,18512623.430862714,1740203.9378870532,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2022,4295813.051880778,403808.9785917105,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2020,268311664.85502455,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2022,268311664.85502455,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2026,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2030,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2035,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2040,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2045,58050378.84064079,0.0,0.0,0.0
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2020,14747839.037038416,781635.4091194853,0.0,1506182.9438263245
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2022,26157019.311114278,1386321.9313681442,0.0,2624138.283164808
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2026,2985004.169093723,158205.19945913437,0.0,406295.8842234258
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2030,8327.843459530004,441.3313090813956,0.0,1180.0581678953292
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_Peaker2,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Peaker2,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Peaker2,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Peaker2,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Peaker2,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
