line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,488520.5904779911,0.0
BANC_to_CAISO,2022,277841.7213634549,0.0
BANC_to_CAISO,2026,245431.57178518848,0.0
BANC_to_CAISO,2030,68260.23311904793,0.0
BANC_to_CAISO,2035,74325.99443498188,0.0
BANC_to_CAISO,2040,47450.138474486244,0.0
BANC_to_CAISO,2045,763.4654355144437,0.0
IID_to_CAISO,2020,378.46150602477667,0.0
IID_to_CAISO,2022,6697.155086047763,0.0
IID_to_CAISO,2026,11570.06009905516,0.0
IID_to_CAISO,2030,0.0,0.0
IID_to_CAISO,2035,0.0,0.0
IID_to_CAISO,2040,5.462145821564305,0.0
IID_to_CAISO,2045,289.1450809372765,0.0
LDWP_to_CAISO,2020,117957.728009348,0.0
LDWP_to_CAISO,2022,46824.16288837048,0.0
LDWP_to_CAISO,2026,40839.57359605094,0.0
LDWP_to_CAISO,2030,268.52108837875744,0.0
LDWP_to_CAISO,2035,9986.026585731703,0.0
LDWP_to_CAISO,2040,21115.696280076914,0.0
LDWP_to_CAISO,2045,0.0,0.0
NW_to_CAISO_Unspecified,2020,4150275.615630299,0.0
NW_to_CAISO_Unspecified,2022,2966912.683495986,0.0
NW_to_CAISO_Unspecified,2026,2227223.448182357,0.0
NW_to_CAISO_Unspecified,2030,742451.2020659442,0.0
NW_to_CAISO_Unspecified,2035,448928.53107159474,0.0
NW_to_CAISO_Unspecified,2040,210853.98596277487,0.0
NW_to_CAISO_Unspecified,2045,264.45003192628565,0.0
SW_to_CAISO,2020,5717393.089894047,0.0
SW_to_CAISO,2022,8910632.945598625,0.0
SW_to_CAISO,2026,9025643.857694162,0.0
SW_to_CAISO,2030,3239350.226556671,0.0
SW_to_CAISO,2035,2707298.3459026343,0.0
SW_to_CAISO,2040,2178221.1528503997,0.0
SW_to_CAISO,2045,0.0,0.0
