transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1056464.3545254543,1141405.4580375643,84941.10351210991,550.5356319404839,399.79171875248767,2073.2635488359397,212.4633891296213,6474.273062034435,42852587.90293039,46587792.8180279,3089276.262482247,2163760.1620066203,1056464.3545254543,2764922.9591417797,882407.2157931747
BANC_to_CAISO,BANC,CAISO,2022,71744.85209787499,649164.5972132526,577419.7451153776,463.2920289646443,390.28666122439023,1401.1995817497498,1479.4759915799368,5879.324426670316,25222678.007485166,27287768.224006202,18804146.44353608,8754929.581667557,71744.85209787499,1572525.6829139937,5998517.306765954
BANC_to_CAISO,BANC,CAISO,2026,561333.6604862626,573438.8238789715,12105.163392708537,464.2939145717229,187.83191154627292,1235.07719115364,64.44678805138176,7460.476020794982,20359022.32791638,44661358.892078705,405459.4098334253,218970.52708707433,561333.6604862626,1389088.9905602962,125754.0998444481
BANC_to_CAISO,BANC,CAISO,2030,139776.62133772406,159486.76160531188,19710.140267587823,409.9308065449725,323.94591604733375,389.05776062432864,60.84392267722817,8310.098316698459,5572507.89718651,21229323.283979967,727814.1014953245,523025.7441150871,139776.62133772406,386337.4694589398,204759.8745045348
BANC_to_CAISO,BANC,CAISO,2035,113325.4249451445,173659.27656749173,60333.85162234724,472.00541922743633,338.9765131912886,367.9179718989917,177.98829498343477,8214.093733117586,7101981.608611233,24748008.114387713,2563816.3086401788,1937058.2226573983,113325.4249451445,420668.9163401627,626775.225477473
BANC_to_CAISO,BANC,CAISO,2040,-674.9934853898303,110865.09254704342,111540.08603243326,405.32495212949067,332.55619649953263,273.52150901290906,335.4022183513577,8151.076272635746,4639696.511354825,16185546.064162157,4780976.207243362,3276129.1990190344,-674.9934853898303,268557.337088467,1158732.2593880147
BANC_to_CAISO,BANC,CAISO,2045,-924558.499678833,1783.9476727606752,926342.4473515935,60.71787891063484,678.1870122441641,29.380928727538503,1365.9100375370906,7364.709033735396,-29263.45508157652,246819.71947704136,46911669.662654616,33750144.91652097,-924558.499678833,4321.374551576103,9623306.464110145
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
