zone,contract,period,scheduled_curtailment_mwh_per_year,subhourly_curtailment_mwh_per_year,curtailment_cost_$_per_year
BANC,BANC,2020,0.0,0.0,0.0
BANC,BANC,2022,0.0,0.0,0.0
BANC,BANC,2026,38782.64360682028,0.0,2326970.0568587254
BANC,BANC,2030,505289.29109613015,0.0,30317373.32361871
BANC,BANC,2035,468715.1725348083,0.0,28122924.80933666
BANC,BANC,2040,449136.1948897323,0.0,26948182.679665014
BANC,BANC,2045,434115.3656712014,0.0,26046911.065776467
BANC,CAISO,2020,0.0,0.0,0.0
BANC,CAISO,2022,0.0,0.0,0.0
BANC,CAISO,2026,0.0,0.0,0.0
BANC,CAISO,2030,0.0,0.0,0.0
BANC,CAISO,2035,0.0,0.0,0.0
BANC,CAISO,2040,0.0,0.0,0.0
BANC,CAISO,2045,0.0,0.0,0.0
CAISO,CAISO,2020,226796.78950360214,205005.71089314725,0.0
CAISO,CAISO,2022,12585115.072930332,1429198.3157512539,0.0
CAISO,CAISO,2026,6873052.737367816,859590.4856690357,0.0
CAISO,CAISO,2030,7266001.168293692,868617.0483429278,0.0
CAISO,CAISO,2035,11209389.864946924,1134568.5841278278,0.0
CAISO,CAISO,2040,24029251.489249088,1652013.6833860106,0.0
CAISO,CAISO,2045,51087693.84095178,2251276.4894803013,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2020,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2022,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2026,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2030,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2035,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2040,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2045,0.0,0.0,0.0
IID,CAISO,2020,0.0,0.0,0.0
IID,CAISO,2022,0.0,0.0,0.0
IID,CAISO,2026,0.0,0.0,0.0
IID,CAISO,2030,0.0,0.0,0.0
IID,CAISO,2035,0.0,0.0,0.0
IID,CAISO,2040,0.0,0.0,0.0
IID,CAISO,2045,0.0,0.0,0.0
IID,IID,2020,0.0,0.0,0.0
IID,IID,2022,0.0,0.0,0.0
IID,IID,2026,0.0,0.0,0.0
IID,IID,2030,0.0,0.0,0.0
IID,IID,2035,0.0,0.0,0.0
IID,IID,2040,0.0,0.0,0.0
IID,IID,2045,0.0,0.0,0.0
LDWP,CAISO,2020,0.0,0.0,0.0
LDWP,CAISO,2022,0.0,0.0,0.0
LDWP,CAISO,2026,0.0,0.0,0.0
LDWP,CAISO,2030,0.0,0.0,0.0
LDWP,CAISO,2035,0.0,0.0,0.0
LDWP,CAISO,2040,0.0,0.0,0.0
LDWP,CAISO,2045,0.0,0.0,0.0
LDWP,LDWP,2020,0.0,0.0,0.0
LDWP,LDWP,2022,0.0,0.0,0.0
LDWP,LDWP,2026,0.0,0.0,0.0
LDWP,LDWP,2030,0.0,0.0,0.0
LDWP,LDWP,2035,0.0,0.0,0.0
LDWP,LDWP,2040,0.0,0.0,0.0
LDWP,LDWP,2045,0.0,0.0,0.0
NW,CAISO,2020,20031.86993782507,0.0,0.0
NW,CAISO,2022,341035.7456454595,0.0,0.0
NW,CAISO,2026,124210.33094416035,0.0,0.0
NW,CAISO,2030,481507.6361408148,0.0,0.0
NW,CAISO,2035,465352.2686592772,0.0,0.0
NW,CAISO,2040,576461.6781472825,0.0,0.0
NW,CAISO,2045,574746.8364355868,0.0,0.0
NW,NW,2020,0.0,0.0,0.0
NW,NW,2022,0.0,0.0,0.0
NW,NW,2026,451.64008219337825,0.0,21100.321487125348
NW,NW,2030,243965.35736061865,0.0,7792321.717349133
NW,NW,2035,148166.94836511413,0.0,4445110.207080956
NW,NW,2040,69305.3772768157,0.0,2079266.5192736527
NW,NW,2045,7281.442974006082,0.0,227620.39564250197
SW,CAISO,2020,0.0,0.0,0.0
SW,CAISO,2022,0.0,0.0,0.0
SW,CAISO,2026,0.0,0.0,0.0
SW,CAISO,2030,0.0,0.0,0.0
SW,CAISO,2035,0.0,0.0,0.0
SW,CAISO,2040,0.0,0.0,0.0
SW,CAISO,2045,0.0,0.0,0.0
SW,SW,2020,0.0,0.0,0.0
SW,SW,2022,0.0,0.0,0.0
SW,SW,2026,0.0,0.0,0.0
SW,SW,2030,0.0,0.0,0.0
SW,SW,2035,0.0,0.0,0.0
SW,SW,2040,0.0,0.0,0.0
SW,SW,2045,0.0,0.0,0.0
