zone,contract,resource,period,net_energy_mwh_per_year,net_subhourly_energy_mwh_per_year,scheduled_curtailment_mwh_per_year,units_started_per_year,units_shut_down_per_year
BANC,BANC,BANC_Biomass_for_Other,2020,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2022,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2026,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2030,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2035,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2040,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2045,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2020,4026795.679659162,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2022,4271774.502291073,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2026,4196055.532612452,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2030,3813870.9120636936,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2035,3867884.0141770816,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2040,3614408.9579937477,0.0,0.0,12.159555920675379,12.159555920675379
BANC,BANC,BANC_CCGT,2045,3552697.512336633,0.0,0.0,7.299421097387894,7.299421097387894
BANC,BANC,BANC_Geothermal_for_Other,2020,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2022,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2026,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2030,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2035,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2040,0.0,0.0,0.0,0.0,0.0
