zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
BANC,2035,0.0,0.0
BANC,2040,0.0,0.0
BANC,2045,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO,2035,0.0,0.0
CAISO,2040,0.0,0.0
CAISO,2045,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
CAISO_NW_Hydro,2035,0.0,0.0
CAISO_NW_Hydro,2040,0.0,0.0
CAISO_NW_Hydro,2045,0.0,0.0
IID,2020,729298.2748656464,28203361.406796224
IID,2022,729298.2748656464,26236156.659220252
IID,2026,729298.2748656464,29071286.182985187
IID,2030,729298.2748656464,29205403.15694741
IID,2035,729298.2748656464,31080726.806568064
IID,2040,729298.2748656464,32495602.804592837
IID,2045,729298.2748656464,33228397.155760344
LDWP,2020,13199.194695043863,477113.1595849575
LDWP,2022,13199.194695043863,464200.3660420665
LDWP,2026,13199.194695043863,483363.4303453794
LDWP,2030,13199.194695043863,481774.60353053454
LDWP,2035,13199.194695043863,511538.44770379073
LDWP,2040,13199.194695043863,519117.0954731489
LDWP,2045,13199.194695043863,532587.323000282
NW,2020,3678402.003734256,86809930.75779599
NW,2022,3357396.1503135785,91640774.43171747
NW,2026,3574223.3382999264,98389206.19586886
NW,2030,3216923.8062647237,96463849.46218356
NW,2035,3233079.1737462613,98325756.73152784
NW,2040,3121969.4738346348,99487851.75452767
NW,2045,3123684.3155463305,102389131.65987062
SW,2020,397143.1904552827,9303221.234364081
SW,2022,397143.1904552827,9328516.060301965
SW,2026,397143.1904552827,9409392.584696617
SW,2030,397143.1904552827,9628772.56978102
SW,2035,397143.1904552827,10256994.077607136
SW,2040,397143.1904552827,10922253.647800881
SW,2045,397143.1904552827,11721597.768558985
