zone,period,timepoint_id,day_id,hour_of_day,day_weight,input_load_mw,hourly_energy_cost_$_per_mwh,unserved_energy_mw,overgeneration_mw,total_generation_mw,unbundled_rps_generation_mw,storage_charging_mw,flexible_ev_load_mw,flexible_load_shift_mw,hydrogen_electrolysis_load_mw,ee_ftm_load_reduction_mw
CAISO,2020,20200101,1,0,14.2498665899213,22186.25,37.59,0,0,14958.92,0,0,0,0,7.87,0
CAISO,2020,20200102,1,1,14.2498665899213,20931.18,37.56,0,0,14474.85,0,0,0,0,7.87,0
CAISO,2020,20200103,1,2,14.2498665899213,20079.82,37.56,0,0,13548.24,0,0,0,0,7.87,0
CAISO,2020,20200104,1,3,14.2498665899213,19608.34,37.56,0,0,13753.37,0,0,0,0,7.87,0
CAISO,2020,20200105,1,4,14.2498665899213,19567.17,37.56,0,0,12836.37,0,0,0,0,7.87,0
CAISO,2020,20200106,1,5,14.2498665899213,19925.42,37.59,0,0,13235.48,0,0,0,0,7.87,0
CAISO,2020,20200107,1,6,14.2498665899213,20462.45,37.59,0,0,13644.29,0,0,0,0,7.87,0
CAISO,2020,20200108,1,7,14.2498665899213,20532.20,37.59,0,0,13091.19,0,0,0,0,7.87,0
CAISO,2020,20200109,1,8,14.2498665899213,21241.86,37.56,0,0,19191.26,0,326.73,0,0,7.87,0
CAISO,2020,20200110,1,9,14.2498665899213,22018.55,25.84,0,0,22720.21,0,154.40,0,0,7.87,0
CAISO,2020,20200111,1,10,14.2498665899213,22531.63,24.36,0,0,25362.30,0,1914.69,0,0,102.28,0
CAISO,2020,20200112,1,11,14.2498665899213,22696.07,23.55,0,0,26842.72,0,2719.24,0,0,125.88,0
CAISO,2020,20200113,1,12,14.2498665899213,22646.00,23.55,0,0,26921.04,0,2927.94,0,0,125.88,0
CAISO,2020,20200114,1,13,14.2498665899213,22418.62,23.55,0,0,26636.10,0,2930.21,0,0,125.88,0
CAISO,2020,20200115,1,14,14.2498665899213,22155.80,24.36,0,0,24954.67,0,1880.11,0,0,125.88,0
CAISO,2020,20200116,1,15,14.2498665899213,22099.25,28.32,0,0,22391.34,0,284.23,0,0,7.87,0
CAISO,2020,20200117,1,16,14.2498665899213,23058.07,37.56,0,0,17627.88,0,0,0,0,7.87,0
CAISO,2020,20200118,1,17,14.2498665899213,27138.79,51.59,0,0,18585.31,0,0,0,0,7.87,0
CAISO,2020,20200119,1,18,14.2498665899213,28017.98,85.01,0,0,18944.58,0,0,0,0,7.87,0
CAISO,2020,20200120,1,19,14.2498665899213,27621.28,49.34,0,0,17561.11,0,0,0,0,7.87,0
CAISO,2020,20200121,1,20,14.2498665899213,26929.56,49.34,0,0,16869.38,0,0,0,0,7.87,0
CAISO,2020,20200122,1,21,14.2498665899213,25722.50,41.79,0,0,15662.33,0,0,0,0,7.87,0
CAISO,2020,20200123,1,22,14.2498665899213,23797.09,37.59,0,0,14860.67,0,0,0,0,7.87,0
CAISO,2020,20200124,1,23,14.2498665899213,21663.16,37.59,0,0,13651.63,0,0,0,0,7.87,0
CAISO,2020,20200201,2,0,5.90752557717969,20288.32,37.43,0,0,14931.26,0,0,0,0,7.87,0
CAISO,2020,20200202,2,1,5.90752557717969,19497.49,37.43,0,0,14030.44,0,0,0,0,7.87,0
CAISO,2020,20200203,2,2,5.90752557717969,19161.60,37.43,0,0,13786.76,0,0,0,0,7.87,0
CAISO,2020,20200204,2,3,5.90752557717969,19113.36,37.43,0,0,13965.53,0,0,0,0,7.87,0
CAISO,2020,20200205,2,4,5.90752557717969,19732.16,37.43,0,0,14652.03,0,0,0,0,7.87,0
CAISO,2020,20200206,2,5,5.90752557717969,21472.87,37.43,0,0,16392.73,0,0,0,0,7.87,0
CAISO,2020,20200207,2,6,5.90752557717969,24004.16,37.56,0,0,18892.96,0,0,0,0,7.87,0
CAISO,2020,20200208,2,7,5.90752557717969,25412.30,37.56,0,0,19923.67,0,0,0,0,7.87,0
