resource,fuel,zone,contract,period,fuel_burn_mmbtu_per_year,ghg_tco2_per_year,pipeline_biogas_mmbtu_per_year,start_fuel_mmbtu_per_year
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2020,29911301.324095584,1585296.731171456,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2022,32126776.838213965,1702717.428286635,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2026,31363047.976583667,1662244.7056972578,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2030,28321564.28380727,1501043.0371373747,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2035,28704905.892292514,1521357.310025692,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2040,26801455.0866962,1420476.981497084,0.0,14178.800825832586
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2045,26329559.052905608,1395466.72187453,0.0,8511.61140103432
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2020,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2022,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2026,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2030,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2035,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2040,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2045,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2020,400430510.90465933,21222817.661107417,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2022,145477104.3166352,7710289.832805487,0.0,3184657.33094534
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2026,273770335.31153506,14509830.949476626,0.0,6931313.432195075
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2030,269376116.35119605,14276938.457945174,0.0,4108029.8569664885
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2035,278324126.2007861,14751177.92616482,0.0,2617003.033553495
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2040,261388733.25738814,13853603.047954394,0.0,3224419.3609571056
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2045,170640038.11573523,9043924.38562608,0.0,2252249.4512307374
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2020,1322092.3892244338,70071.57419759688,0.0,65818.255494762
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2022,977750.1089648914,51821.023014513434,0.0,154156.57931312604
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2040,2899962.128946055,153698.3122612524,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2045,3023575.3508200245,160249.73696649863,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2020,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2022,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2026,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2030,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2035,41380653.50750686,2193173.04014964,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2020,18512623.430862714,1740203.9378870532,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2022,1592036.2846002094,149652.60005252037,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2020,268311664.85502455,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2022,268311664.85502455,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2026,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2030,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2035,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2040,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2045,58050378.84064079,0.0,0.0,0.0
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2020,14747838.746001435,781635.4091194855,0.0,1506183.0923646435
