line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,488520.5187754073,0.0
BANC_to_CAISO,2022,291077.65148518374,0.0
BANC_to_CAISO,2026,291996.9053201585,0.0
BANC_to_CAISO,2030,30569.13186195843,0.0
BANC_to_CAISO,2035,23093.94929303627,0.0
BANC_to_CAISO,2040,24643.30588323695,0.0
BANC_to_CAISO,2045,20090.664619622243,0.0
IID_to_CAISO,2020,378.46150602477667,0.0
IID_to_CAISO,2022,7118.166112417555,0.0
IID_to_CAISO,2026,7473.743116895923,0.0
IID_to_CAISO,2030,0.0,0.0
IID_to_CAISO,2035,4161.108532678178,0.0
IID_to_CAISO,2040,4957.299621578788,0.0
IID_to_CAISO,2045,126.36067530313177,0.0
LDWP_to_CAISO,2020,117957.90533785282,0.0
LDWP_to_CAISO,2022,49019.26013749575,0.0
LDWP_to_CAISO,2026,50569.93461561086,0.0
LDWP_to_CAISO,2030,390.09402206433913,0.0
LDWP_to_CAISO,2035,19110.763629585912,0.0
LDWP_to_CAISO,2040,85360.51548419344,0.0
LDWP_to_CAISO,2045,88147.96762445642,0.0
NW_to_CAISO_Unspecified,2020,4123585.1469265185,0.0
NW_to_CAISO_Unspecified,2022,2951450.432332846,0.0
NW_to_CAISO_Unspecified,2026,2257931.1555298017,0.0
NW_to_CAISO_Unspecified,2030,518603.7017013235,0.0
NW_to_CAISO_Unspecified,2035,280993.18355791806,0.0
NW_to_CAISO_Unspecified,2040,59417.11813373662,0.0
NW_to_CAISO_Unspecified,2045,13275.39709125128,0.0
SW_to_CAISO,2020,5744084.6360686375,0.0
SW_to_CAISO,2022,8969556.202584783,0.0
SW_to_CAISO,2026,8955778.410920357,0.0
SW_to_CAISO,2030,2246973.04158457,0.0
SW_to_CAISO,2035,2692779.3210013765,0.0
SW_to_CAISO,2040,1800349.5160872345,0.0
SW_to_CAISO,2045,654606.394271492,0.0
