resource,period,local_new_capacity_MW,local_new_capacity_NQC_MW,local_capacity_limit_MW,local_capacity_limit_dual_$,storage_local_energy_capacity_MWh
CAISO_Advanced_CCGT,2020,0,0,,,
CAISO_Advanced_CCGT,2022,0,0,,,
CAISO_Advanced_CCGT,2026,0,0,,,
CAISO_Advanced_CCGT,2030,0,0,,,
CAISO_Advanced_CCGT,2035,0,0,,,
CAISO_Advanced_CCGT,2040,0,0,,,
CAISO_Advanced_CCGT,2045,0,0,,,
CAISO_Aero_CT,2020,0,0,,,
CAISO_Aero_CT,2022,0,0,,,
CAISO_Aero_CT,2026,0,0,,,
CAISO_Aero_CT,2030,0,0,,,
CAISO_Aero_CT,2035,0,0,,,
CAISO_Aero_CT,2040,0,0,,,
CAISO_Aero_CT,2045,0,0,,,
CAISO_Reciprocating_Engine,2020,0,0,,,
CAISO_Reciprocating_Engine,2022,0,0,,,
CAISO_Reciprocating_Engine,2026,0,0,,,
CAISO_Reciprocating_Engine,2030,0,0,,,
CAISO_Reciprocating_Engine,2035,0,0,,,
CAISO_Reciprocating_Engine,2040,0,0,,,
CAISO_Reciprocating_Engine,2045,0,0,,,
Distributed_Solar,2020,0,0,,,
Distributed_Solar,2022,0,0,,,
Distributed_Solar,2026,0,0,,,
Distributed_Solar,2030,0,0,,,
Distributed_Solar,2035,0,0,,,
Distributed_Solar,2040,0,0,,,
Distributed_Solar,2045,0,0,,,
CAISO_New_Pumped_Storage,2020,0,0,,,0
CAISO_New_Pumped_Storage,2022,0,0,,,0
CAISO_New_Pumped_Storage,2026,0,0,,,0
CAISO_New_Pumped_Storage,2030,0,0,,,0
CAISO_New_Pumped_Storage,2035,0,0,,,0
CAISO_New_Pumped_Storage,2040,0,0,,,0
CAISO_New_Pumped_Storage,2045,0,0,,,0
CAISO_New_Flow_Battery,2020,0,0,,,0
CAISO_New_Flow_Battery,2022,0,0,,,0
CAISO_New_Flow_Battery,2026,0,0,,,0
CAISO_New_Flow_Battery,2030,0,0,,,0
CAISO_New_Flow_Battery,2035,0,0,,,0
CAISO_New_Flow_Battery,2040,0,0,,,0
CAISO_New_Flow_Battery,2045,0,0,,,0
CAISO_New_Flow_Battery_2,2020,0,0,,,0
CAISO_New_Flow_Battery_2,2022,0,0,,,0
CAISO_New_Flow_Battery_2,2026,0,0,,,0
CAISO_New_Flow_Battery_2,2030,0,0,,,0
CAISO_New_Flow_Battery_2,2035,0,0,,,0
CAISO_New_Flow_Battery_2,2040,0,0,,,0
CAISO_New_Flow_Battery_2,2045,0,0,,,0
CAISO_New_Flow_Battery_3,2020,0,0,,,0
CAISO_New_Flow_Battery_3,2022,0,0,,,0
CAISO_New_Flow_Battery_3,2026,0,0,,,0
CAISO_New_Flow_Battery_3,2030,0,0,,,0
CAISO_New_Flow_Battery_3,2035,0,0,,,0
CAISO_New_Flow_Battery_3,2040,0,0,,,0
CAISO_New_Flow_Battery_3,2045,0,0,,,0
CAISO_New_Flow_Battery_4,2020,0,0,,,0
CAISO_New_Flow_Battery_4,2022,0,0,,,0
CAISO_New_Flow_Battery_4,2026,0,0,,,0
CAISO_New_Flow_Battery_4,2030,0,0,,,0
CAISO_New_Flow_Battery_4,2035,0,0,,,0
CAISO_New_Flow_Battery_4,2040,0,0,,,0
CAISO_New_Flow_Battery_4,2045,0,0,,,0
CAISO_New_Flow_Battery_5,2020,0,0,,,0
CAISO_New_Flow_Battery_5,2022,0,0,,,0
CAISO_New_Flow_Battery_5,2026,0,0,,,0
CAISO_New_Flow_Battery_5,2030,0,0,,,0
CAISO_New_Flow_Battery_5,2035,0,0,,,0
CAISO_New_Flow_Battery_5,2040,0,0,,,0
CAISO_New_Flow_Battery_5,2045,0,0,,,0
CAISO_New_Li_Battery,2020,0,0,,,0
CAISO_New_Li_Battery,2022,0,0,,,0
CAISO_New_Li_Battery,2026,0,0,,,0
CAISO_New_Li_Battery,2030,0,0,,,0
CAISO_New_Li_Battery,2035,0,0,,,0
CAISO_New_Li_Battery,2040,0,0,,,0
CAISO_New_Li_Battery,2045,0,0,,,0
CAISO_BTM_Li_Battery,2020,0,0,,,0
CAISO_BTM_Li_Battery,2022,0,0,,,0
CAISO_BTM_Li_Battery,2026,0,0,,,0
CAISO_BTM_Li_Battery,2030,0,0,,,0
CAISO_BTM_Li_Battery,2035,0,0,,,0
CAISO_BTM_Li_Battery,2040,0,0,,,0
CAISO_BTM_Li_Battery,2045,0,0,,,0
CAISO_New_Li_Battery_2,2020,0,0,,,0
CAISO_New_Li_Battery_2,2022,0,0,,,0
CAISO_New_Li_Battery_2,2026,0,0,,,0
CAISO_New_Li_Battery_2,2030,0,0,,,0
CAISO_New_Li_Battery_2,2035,0,0,,,0
CAISO_New_Li_Battery_2,2040,0,0,,,0
CAISO_New_Li_Battery_2,2045,0,0,,,0
CAISO_New_Li_Battery_3,2020,0,0,,,0
CAISO_New_Li_Battery_3,2022,0,0,,,0
CAISO_New_Li_Battery_3,2026,0,0,,,0
CAISO_New_Li_Battery_3,2030,0,0,,,0
CAISO_New_Li_Battery_3,2035,0,0,,,0
CAISO_New_Li_Battery_3,2040,0,0,,,0
CAISO_New_Li_Battery_3,2045,0,0,,,0
CAISO_New_Li_Battery_4,2020,0,0,,,0
