transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1056281.4846599225,1141405.000666674,85123.51600675157,551.2686520675813,400.6502784101724,2070.5059073933094,212.4633891296213,6477.030703477064,42852571.99187437,46587775.80013434,3095536.6592983487,2168125.293003395,1056281.4846599225,2764923.0400870685,884302.2387682688
BANC_to_CAISO,BANC,CAISO,2022,34552.06845047443,680090.07323156,645538.0047810855,463.9683693896958,413.24537395735564,1465.8112882267185,1562.1179218516818,5732.070789921601,26031472.180234645,28212478.547855373,20566188.97574893,7755593.952392438,34552.06845047443,1647439.2729975444,6706162.944698236
BANC_to_CAISO,BANC,CAISO,2026,607270.4235360888,682236.1856409156,74965.76210482672,597.1812013822741,272.8997773053523,1142.4274308396978,274.70070824186206,7342.871860918451,24484669.704399858,55184415.164204895,2755814.880567739,1888717.2023550894,607270.4235360888,1652636.715782807,778780.781542394
BANC_to_CAISO,BANC,CAISO,2030,44365.18800234732,71423.29468538545,27058.106683038102,310.5271056945908,296.8353140353411,230.00663509108156,91.15528174594675,8438.838083162987,2646927.3164252224,10986214.976900654,1114880.9076269926,833747.1791902268,44365.18800234732,173014.47399810766,281092.23526853434
BANC_to_CAISO,BANC,CAISO,2035,-58445.87538988047,53957.97054428264,112403.84593416314,264.8701548724885,340.00777119720436,203.71479969216847,330.5919907017918,8225.693209606061,2074851.9025450067,8323869.6515237205,4306559.163862285,2954649.9233191796,-58445.87538988047,130706.70189111891,1167708.9752901888
BANC_to_CAISO,BANC,CAISO,2040,-249295.14263571455,57577.948799384314,306873.0914350989,262.87782925201066,454.75460174619053,219.02930712421013,674.810304847387,7866.160388028425,2811307.3743469873,11602158.861373372,10828949.790890384,5603328.5723455725,-249295.14263571455,139476.18204025162,3187949.1616368173
BANC_to_CAISO,BANC,CAISO,2045,-772562.6116065683,46940.393144091504,819503.0047506599,292.1015312863976,585.0513792853423,160.6988944473137,1400.7368134944102,7198.564292058299,2672826.5896254913,16237750.700989189,34881878.00490523,13716160.680654965,-772562.6116065683,113707.78891741097,8513403.873780495
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
