period,prm_peak_load_MW,prm_annual_energy_MWh,facet_index,solar_coefficient,solar_elcc_MW_per_fraction_of_annual_load,solar_fraction_of_annual_load,solar_elcc_MW,wind_coefficient,wind_elcc_MW_per_fraction_of_annual_load,wind_fraction_of_annual_load,wind_elcc_MW,facet_intercept_MW,facet_elcc_MW,elcc_surface_facet_dual_$
2020,48676.21,239433803.21,1,1.248933,60793.33,0.218766,13299.53,0.347680,16923.76,0.076655,1297.28,0,14596.82,0
2020,48676.21,239433803.21,2,1.337115,65085.72,0.218766,14238.56,0.307998,14992.19,0.076655,1149.22,0,15387.78,0
2020,48676.21,239433803.21,3,1.337115,65085.72,0.218766,14238.56,0.261540,12730.76,0.076655,975.87,226.14,15440.58,0
2020,48676.21,239433803.21,4,1.380211,67183.46,0.218766,14697.48,0.242146,11786.77,0.076655,903.51,320.54,15921.53,0
2020,48676.21,239433803.21,5,0.973241,47373.67,0.218766,10363.76,0.410038,19959.08,0.076655,1529.96,603.88,12497.60,0
2020,48676.21,239433803.21,6,1.111813,54118.83,0.218766,11839.37,0.347680,16923.76,0.076655,1297.28,300.35,13437.01,0
2020,48676.21,239433803.21,7,1.111813,54118.83,0.218766,11839.37,0.284774,13861.73,0.076655,1062.57,606.56,13508.50,0
2020,48676.21,239433803.21,8,1.163445,56632.10,0.218766,12389.19,0.261540,12730.76,0.076655,975.87,606.56,13971.62,0
2020,48676.21,239433803.21,9,0.512067,24925.48,0.218766,5452.85,0.471368,22944.41,0.076655,1758.79,2624.22,9835.87,0
2020,48676.21,239433803.21,10,0.648356,31559.53,0.218766,6904.16,0.410038,19959.08,0.076655,1529.96,2027.16,10461.27,0
2020,48676.21,239433803.21,11,0.648356,31559.53,0.218766,6904.16,0.318856,15520.68,0.076655,1189.73,2471.00,10564.89,0
2020,48676.21,239433803.21,12,0.724093,35246.09,0.218766,7710.66,0.284774,13861.73,0.076655,1062.57,2305.10,11078.32,0
2020,48676.21,239433803.21,13,0.146671,7139.39,0.218766,1561.86,0.509186,24785.25,0.076655,1899.90,5025.34,8487.11,0
2020,48676.21,239433803.21,14,0.230711,11230.16,0.218766,2456.78,0.471368,22944.41,0.076655,1758.79,4473.09,8688.66,0
2020,48676.21,239433803.21,15,0.230711,11230.16,0.218766,2456.78,0.336967,16402.28,0.076655,1257.31,5127.30,8841.39,0
2020,48676.21,239433803.21,16,0.270959,13189.27,0.218766,2885.37,0.318856,15520.68,0.076655,1189.73,4950.98,9026.08,0
2020,48676.21,239433803.21,17,0.063958,3113.25,0.218766,681.07,0.516611,25146.65,0.076655,1927.61,5750.05,8358.73,0
2020,48676.21,239433803.21,18,0.080457,3916.36,0.218766,856.77,0.509186,24785.25,0.076655,1899.90,5605.49,8362.16,0
2020,48676.21,239433803.21,19,0.080457,3916.36,0.218766,856.77,0.339527,16526.87,0.076655,1266.86,6431.33,8554.96,0
2020,48676.21,239433803.21,20,0.086145,4193.23,0.218766,917.34,0.336967,16402.28,0.076655,1257.31,6393.95,8568.60,0
2020,48676.21,239433803.21,21,0.034771,1692.50,0.218766,370.26,0.519642,25294.21,0.076655,1938.92,6069.72,8378.90,0
2020,48676.21,239433803.21,22,0.041507,2020.41,0.218766,442.00,0.516611,25146.65,0.076655,1927.61,5995.94,8365.54,0
2020,48676.21,239433803.21,23,0.041507,2020.41,0.218766,442.00,0.339969,16548.39,0.076655,1268.51,6855.77,8566.27,0
2020,48676.21,239433803.21,24,0.042489,2068.22,0.218766,452.46,0.339527,16526.87,0.076655,1266.86,6847.16,8566.48,0
2022,49381.18,243269157.45,1,1.248933,61673.79,0.363940,22445.56,0.347680,17168.87,0.123294,2116.82,0,24562.38,0
2022,49381.18,243269157.45,2,1.337115,66028.34,0.363940,24030.35,0.307998,15209.32,0.123294,1875.22,0,25905.57,0
2022,49381.18,243269157.45,3,1.337115,66028.34,0.363940,24030.35,0.261540,12915.13,0.123294,1592.36,229.42,25852.13,0
2022,49381.18,243269157.45,4,1.380211,68156.46,0.363940,24804.86,0.242146,11957.48,0.123294,1474.29,325.18,26604.33,0
