timepoint,period,day,hour_of_day,day_weight,period_discount_factor,min_gen_req,spin_req,upward_lf_req,downward_lf_req,upward_reg_req,downward_reg_req,min_local_gen_dual_$,total_fr_dual_$,partial_fr_dual_$,spin_dual_$,upward_lf_dual_$,upward_reg_dual_$,downward_reg_dual_$,max_downward_lf_dual_$,var_renw_down_lf_limit_dual_$,var_renw_down_lf_availability_dual_$,max_variable_upward_lf_dual_$,available_variable_upward_lf_dual_$,upward_reg_violation_mw,downward_reg_violation_mw,upward_lf_reserve_violation_mw,downward_lf_reserve_violation_mw,spin_violation_mw
20200101,2020,1,0,14.2498665899213,1.47619047619048,0,665.19,982.11,984.02,221.73,221.73,,0,0,0,7.52,7.52,-6.42,-6.42,0,0,0,-7.52,0,0,0,0,0
20200102,2020,1,1,14.2498665899213,1.47619047619048,0,627.55,982.11,984.02,209.18,209.18,,0,0,0,7.52,7.52,-6.39,-6.39,0,0,0,-7.52,0,0,0,0,0
20200103,2020,1,2,14.2498665899213,1.47619047619048,0,602.02,982.11,984.02,200.67,200.67,,0,0,0,7.52,7.52,-6.39,-6.39,0,0,0,-7.52,0,0,0,0,0
20200104,2020,1,3,14.2498665899213,1.47619047619048,0,587.88,982.11,984.02,195.96,195.96,,0,0,0,7.52,7.52,-6.39,-6.39,0,0,0,-7.52,0,0,0,0,0
20200105,2020,1,4,14.2498665899213,1.47619047619048,0,586.63,982.11,984.02,195.54,195.54,,0,0,0,7.52,7.52,-6.39,-6.39,0,0,0,-7.52,0,0,0,0,0
20200106,2020,1,5,14.2498665899213,1.47619047619048,0,597.36,982.11,984.02,199.12,199.12,,0,0,0,7.52,7.52,-6.42,-6.42,0,0,0,-7.52,0,0,0,0,0
20200107,2020,1,6,14.2498665899213,1.47619047619048,0,613.45,1011.19,1724.25,204.48,204.48,,0,0,0,7.52,7.52,-6.39,-6.39,0,0,0,-7.52,0,0,0,0,0
20200108,2020,1,7,14.2498665899213,1.47619047619048,0,615.54,2138.78,2702.23,205.18,205.18,,0.33,0,0.33,7.85,7.85,-6.09,-6.09,0,0,0,-7.85,0,0,0,0,0
20200109,2020,1,8,14.2498665899213,1.47619047619048,0,636.82,3152.88,2839.47,212.27,212.27,,11.73,0.28,11.73,19.52,19.52,0,0,0,0,0,-19.52,0,0,0,0,0
20200110,2020,1,9,14.2498665899213,1.47619047619048,0,660.11,2442.49,2301.11,220.04,220.04,,0,0.28,0,7.79,7.79,0,0,0,0,0,-7.79,0,0,0,0,0
20200111,2020,1,10,14.2498665899213,1.47619047619048,0,675.50,2071.24,2089.36,225.17,225.17,,0,0,0,7.52,7.52,0,0,0,0,0,-7.52,0,0,0,0,0
20200112,2020,1,11,14.2498665899213,1.47619047619048,0,680.43,2042.55,1961.81,226.81,226.81,,0,0,0,7.52,7.52,0.81,0,0,0,0,-7.52,0,0,0,0,0
20200113,2020,1,12,14.2498665899213,1.47619047619048,0,678.93,2051.77,1940.32,226.31,226.31,,0,0,0,7.52,7.52,0.81,0.81,-0.81,0,0,-7.52,0,0,0,0,0
20200114,2020,1,13,14.2498665899213,1.47619047619048,0,672.11,2065.84,2086.45,224.04,224.04,,0,0,0,7.52,7.52,0.81,0,0,0,0,-7.52,0,0,0,0,0
20200115,2020,1,14,14.2498665899213,1.47619047619048,0,664.23,2353.36,2264.78,221.41,221.41,,0,0,0,7.52,7.52,0,0,0,0,0,-7.52,0,0,0,0,0
20200116,2020,1,15,14.2498665899213,1.47619047619048,0,662.54,3076.08,2737.88,220.85,220.85,,2.48,0.28,2.48,10.28,10.28,0,0,0,0,0,-10.28,0,0,0,0,0
20200117,2020,1,16,14.2498665899213,1.47619047619048,0,691.28,2306.29,2804.08,230.43,230.43,,0.30,0.28,0.30,8.09,8.09,-6.09,-6.09,0,0,0,-8.09,0,0,0,0,0
20200118,2020,1,17,14.2498665899213,1.47619047619048,0,813.65,1010.62,1723.38,271.22,271.22,,14.00,0,14.00,16.28,21.52,-6.39,-6.39,0,0,0,-16.28,0,0,0,0,0
20200119,2020,1,18,14.2498665899213,1.47619047619048,0,840.01,1169.82,1171.27,280.00,280.00,,47.42,0,47.42,49.68,54.94,-6.42,-6.42,0,0,0,-49.68,0,0,0,0,0
20200120,2020,1,19,14.2498665899213,1.47619047619048,0,828.12,1240.98,1242.35,276.04,276.04,,11.75,0,11.75,19.27,19.27,-6.42,-6.42,0,0,0,-19.27,0,0,0,0,0
20200121,2020,1,20,14.2498665899213,1.47619047619048,0,807.39,1186.87,1188.29,269.13,269.13,,11.75,0,11.75,19.27,19.27,-6.42,-6.42,0,0,0,-19.27,0,0,0,0,0
20200122,2020,1,21,14.2498665899213,1.47619047619048,0,771.21,1166.20,1167.65,257.07,257.07,,4.22,0,4.22,11.74,11.74,-6.39,-6.39,0,0,0,-11.74,0,0,0,0,0
20200123,2020,1,22,14.2498665899213,1.47619047619048,0,713.48,1115.90,1117.45,237.83,237.83,,0,0,0,7.52,7.52,-6.42,-6.42,0,0,0,-7.52,0,0,0,0,0
20200124,2020,1,23,14.2498665899213,1.47619047619048,0,649.49,1002.23,1004.06,216.50,216.50,,0,0,0,7.52,7.52,-6.42,-6.42,0,0,0,-7.52,0,0,0,0,0
20200201,2020,2,0,5.90752557717969,1.47619047619048,0,608.27,982.11,984.02,202.76,202.76,,0,0,0,7.69,7.69,-6.68,-6.68,0,0,0,-7.69,0,0,0,0,0
20200202,2020,2,1,5.90752557717969,1.47619047619048,0,584.56,982.11,984.02,194.85,194.85,,0,0,0,7.69,7.69,-6.68,-6.68,0,0,0,-7.69,0,0,0,0,0
20200203,2020,2,2,5.90752557717969,1.47619047619048,0,574.48,982.11,984.02,191.49,191.49,,0,0,0,7.69,7.69,-6.68,-6.68,0,0,0,-7.69,0,0,0,0,0
20200204,2020,2,3,5.90752557717969,1.47619047619048,0,573.03,982.11,984.02,191.01,191.01,,0,0,0,7.69,7.69,-6.68,-6.68,0,0,0,-7.69,0,0,0,0,0
20200205,2020,2,4,5.90752557717969,1.47619047619048,0,591.58,982.11,984.02,197.19,197.19,,0,0,0,7.69,7.69,-6.68,-6.68,0,0,0,-7.69,0,0,0,0,0
20200206,2020,2,5,5.90752557717969,1.47619047619048,0,643.77,982.11,984.02,214.59,214.59,,0,0,0,7.69,7.69,-6.68,-6.68,0,0,0,-7.69,0,0,0,0,0
20200207,2020,2,6,5.90752557717969,1.47619047619048,0,719.67,1011.14,1724.17,239.89,239.89,,0,0,0,7.69,7.69,-6.82,-6.82,0,0,0,-7.69,0,0,0,0,0
20200208,2020,2,7,5.90752557717969,1.47619047619048,0,761.90,2018.66,2626.15,253.97,253.97,,0,0,0,7.69,7.69,-6.53,-6.53,0,0,0,-7.69,0,0,0,0,0
20200209,2020,2,8,5.90752557717969,1.47619047619048,0,795.93,3235.07,2971.69,265.31,265.31,,0,0,0,7.69,7.69,-6.23,-6.23,0,0,0,-7.69,0,0,0,0,0
20200210,2020,2,9,5.90752557717969,1.47619047619048,0,817.10,2560.83,2475.49,272.37,272.37,,0,0,0,7.69,7.69,-5.32,-5.32,0,0,0,-7.69,0,0,0,0,0
20200211,2020,2,10,5.90752557717969,1.47619047619048,0,833.38,2141.02,2189.77,277.79,277.79,,0,0,0,7.69,7.69,-5.32,-5.32,0,0,0,-7.69,0,0,0,0,0
20200212,2020,2,11,5.90752557717969,1.47619047619048,0,833.12,2184.00,2025.92,277.71,277.71,,0,0,0,7.69,7.69,-6.23,-6.23,0,0,0,-7.69,0,0,0,0,0
20200213,2020,2,12,5.90752557717969,1.47619047619048,0,824.03,2206.12,2050.08,274.68,274.68,,0,0,0,7.69,7.69,-6.23,-6.23,0,0,0,-7.69,0,0,0,0,0
20200214,2020,2,13,5.90752557717969,1.47619047619048,0,816.93,2159.32,2192.87,272.31,272.31,,0,0,0,7.69,7.69,-5.32,-5.32,0,0,0,-7.69,0,0,0,0,0
20200215,2020,2,14,5.90752557717969,1.47619047619048,0,812.71,2336.80,2357.58,270.90,270.90,,0,0,0,7.69,7.69,-5.99,-5.99,0,0,0,-7.69,0,0,0,0,0
20200216,2020,2,15,5.90752557717969,1.47619047619048,0,803.82,3053.00,2761.86,267.94,267.94,,0,0,0,7.69,7.69,-6.23,-6.23,0,0,0,-7.69,0,0,0,0,0
20200217,2020,2,16,5.90752557717969,1.47619047619048,0,813.14,2250.63,2782.04,271.05,271.05,,0.14,0,0.14,7.82,7.82,-6.53,-6.53,0,0,0,-7.82,0,0,0,0,0
