zone,contract,period,scheduled_curtailment_mwh_per_year,subhourly_curtailment_mwh_per_year,curtailment_cost_$_per_year
BANC,BANC,2020,0.0,0.0,0.0
BANC,BANC,2022,0.0,0.0,0.0
BANC,BANC,2026,38782.64360682028,0.0,2326970.0568587254
BANC,BANC,2030,505289.1897863191,0.0,30317373.39054921
BANC,BANC,2035,468046.96741104044,0.0,28082828.880795486
BANC,BANC,2040,449136.28716638056,0.0,26948182.771941658
BANC,BANC,2045,434620.18703873537,0.0,26077209.209992044
BANC,CAISO,2020,0.0,0.0,0.0
BANC,CAISO,2022,0.0,0.0,0.0
BANC,CAISO,2026,0.0,0.0,0.0
BANC,CAISO,2030,0.0,0.0,0.0
BANC,CAISO,2035,0.0,0.0,0.0
BANC,CAISO,2040,0.0,0.0,0.0
BANC,CAISO,2045,0.0,0.0,0.0
CAISO,CAISO,2020,230697.77957254136,205134.1504814442,0.0
CAISO,CAISO,2022,12639710.268336069,1448323.3160755069,0.0
CAISO,CAISO,2026,6722543.463205234,938831.9749881141,0.0
CAISO,CAISO,2030,7611204.707847077,935436.3370826759,0.0
CAISO,CAISO,2035,8488154.83792293,1078186.7223276487,0.0
CAISO,CAISO,2040,21343080.557124354,1989157.2660993463,0.0
CAISO,CAISO,2045,47510136.70966562,2499370.42567445,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2020,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2022,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2026,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2030,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2035,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2040,0.0,0.0,0.0
CAISO_NW_Hydro,CAISO_NW_Hydro,2045,0.0,0.0,0.0
IID,CAISO,2020,0.0,0.0,0.0
IID,CAISO,2022,0.0,0.0,0.0
IID,CAISO,2026,0.0,0.0,0.0
IID,CAISO,2030,0.0,0.0,0.0
IID,CAISO,2035,0.0,0.0,0.0
IID,CAISO,2040,0.0,0.0,0.0
IID,CAISO,2045,0.0,0.0,0.0
IID,IID,2020,0.0,0.0,0.0
IID,IID,2022,0.0,0.0,0.0
IID,IID,2026,0.0,0.0,0.0
IID,IID,2030,0.0,0.0,0.0
IID,IID,2035,0.0,0.0,0.0
IID,IID,2040,0.0,0.0,0.0
IID,IID,2045,0.0,0.0,0.0
LDWP,CAISO,2020,0.0,0.0,0.0
LDWP,CAISO,2022,0.0,0.0,0.0
LDWP,CAISO,2026,0.0,0.0,0.0
LDWP,CAISO,2030,0.0,0.0,0.0
LDWP,CAISO,2035,0.0,0.0,0.0
LDWP,CAISO,2040,0.0,0.0,0.0
LDWP,CAISO,2045,0.0,0.0,0.0
LDWP,LDWP,2020,0.0,0.0,0.0
LDWP,LDWP,2022,0.0,0.0,0.0
LDWP,LDWP,2026,0.0,0.0,0.0
LDWP,LDWP,2030,0.0,0.0,0.0
LDWP,LDWP,2035,0.0,0.0,0.0
LDWP,LDWP,2040,0.0,0.0,0.0
LDWP,LDWP,2045,0.0,0.0,0.0
NW,CAISO,2020,20055.6542559261,0.0,0.0
NW,CAISO,2022,341258.1155905214,0.0,0.0
NW,CAISO,2026,149535.14670503102,0.0,0.0
NW,CAISO,2030,481371.8718527649,0.0,0.0
NW,CAISO,2035,462359.5113161826,0.0,0.0
NW,CAISO,2040,575576.4556078189,0.0,0.0
NW,CAISO,2045,574746.8364355868,0.0,0.0
NW,NW,2020,0.0,0.0,0.0
NW,NW,2022,0.0,0.0,0.0
NW,NW,2026,1858.6184469718496,0.0,65388.510357506384
NW,NW,2030,243965.5437222865,0.0,7329237.531795956
NW,NW,2035,148372.60972121547,0.0,4452720.264155907
NW,NW,2040,69305.54557215757,0.0,2290859.513265241
NW,NW,2045,7281.433940843112,0.0,231614.7157773993
SW,CAISO,2020,0.0,0.0,0.0
SW,CAISO,2022,0.0,0.0,0.0
SW,CAISO,2026,0.0,0.0,0.0
SW,CAISO,2030,0.0,0.0,0.0
SW,CAISO,2035,0.0,0.0,0.0
SW,CAISO,2040,0.0,0.0,0.0
SW,CAISO,2045,0.0,0.0,0.0
SW,SW,2020,0.0,0.0,0.0
SW,SW,2022,0.0,0.0,0.0
SW,SW,2026,0.0,0.0,0.0
SW,SW,2030,0.0,0.0,0.0
SW,SW,2035,0.0,0.0,0.0
SW,SW,2040,0.0,0.0,0.0
SW,SW,2045,0.0,0.0,0.0
