zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
BANC,2035,0.0,0.0
BANC,2040,0.0,0.0
BANC,2045,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO,2035,0.0,0.0
CAISO,2040,0.0,0.0
CAISO,2045,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
CAISO_NW_Hydro,2035,0.0,0.0
CAISO_NW_Hydro,2040,0.0,0.0
CAISO_NW_Hydro,2045,0.0,0.0
IID,2020,729298.2748656464,28200640.892163567
IID,2022,729298.2748656464,26233449.434167873
IID,2026,729298.2748656464,29076572.476745356
IID,2030,729298.2748656464,29078596.07875954
IID,2035,729298.2748656464,31555027.12848605
IID,2040,729298.2748656464,32854134.494479083
IID,2045,729298.2748656464,32952003.38515079
LDWP,2020,13199.194695043863,477024.88623314415
LDWP,2022,13199.194695043863,464188.13450555905
LDWP,2026,13199.194695043863,483086.54271195433
LDWP,2030,13199.194695043863,481266.2105689282
LDWP,2035,13199.194695043863,521263.34403294424
LDWP,2040,13199.194695043863,543397.2756464755
LDWP,2045,13199.194695043863,529913.0605537349
NW,2020,3678378.2103829915,86799719.80282468
NW,2022,3357173.7803685167,91640774.43171747
NW,2026,3548897.8132250365,98308554.55731118
NW,2030,3217059.586865762,96464958.61254545
NW,2035,3236072.0472588046,98446922.87762663
NW,2040,3122854.6963740983,101440622.08410788
NW,2045,3123684.3155463305,103028506.6054567
SW,2020,397143.1904552827,9300382.22794427
SW,2022,397143.1904552827,9328552.457210938
SW,2026,397143.1904552827,9405846.210025571
SW,2030,397143.1904552827,9628456.140106548
SW,2035,397143.1904552827,10268497.212574927
SW,2040,397143.1904552827,10898317.30210899
SW,2045,397143.1904552827,11729252.72949851
