zone,period,timepoint_id,day_id,hour_of_day,day_weight,input_load_mw,hourly_energy_cost_$_per_mwh,unserved_energy_mw,overgeneration_mw,total_generation_mw,unbundled_rps_generation_mw,storage_charging_mw,flexible_ev_load_mw,flexible_load_shift_mw,hydrogen_electrolysis_load_mw,ee_ftm_load_reduction_mw
CAISO,2020,20200101,1,0,14.2498665899213,22173.02,37.59,0,0,14993.79,0,0,0,0,7.96,0
CAISO,2020,20200102,1,1,14.2498665899213,20918.41,37.56,0,0,14122.89,0,0,0,0,7.96,0
CAISO,2020,20200103,1,2,14.2498665899213,20067.35,37.56,0,0,13195.88,0,0,0,0,7.96,0
CAISO,2020,20200104,1,3,14.2498665899213,19595.92,37.56,0,0,13724.76,0,0,0,0,7.96,0
CAISO,2020,20200105,1,4,14.2498665899213,19554.38,37.56,0,0,13419.76,0,0,0,0,7.96,0
CAISO,2020,20200106,1,5,14.2498665899213,19911.99,37.59,0,0,13105.01,0,0,0,0,7.96,0
CAISO,2020,20200107,1,6,14.2498665899213,20448.46,37.59,0,0,13612.81,0,0,0,0,7.96,0
CAISO,2020,20200108,1,7,14.2498665899213,20517.95,37.59,0,0,13060.27,0,0,0,0,7.96,0
CAISO,2020,20200109,1,8,14.2498665899213,21227.25,37.56,0,0,19165.30,0,331.67,0,0,7.96,0
CAISO,2020,20200110,1,9,14.2498665899213,22003.61,25.84,0,0,22710.53,0,159.57,0,0,7.96,0
CAISO,2020,20200111,1,10,14.2498665899213,22516.51,24.36,0,0,25352.62,0,1918.95,0,0,103.45,0
CAISO,2020,20200112,1,11,14.2498665899213,22680.97,23.55,0,0,26833.03,0,2927.59,0,0,127.32,0
CAISO,2020,20200113,1,12,14.2498665899213,22630.96,23.55,0,0,26911.35,0,2719.89,0,0,127.32,0
CAISO,2020,20200114,1,13,14.2498665899213,22403.70,23.55,0,0,26626.42,0,2930.36,0,0,127.32,0
CAISO,2020,20200115,1,14,14.2498665899213,22141.03,24.36,0,0,24944.99,0,1883.75,0,0,127.32,0
CAISO,2020,20200116,1,15,14.2498665899213,22084.54,28.32,0,0,22381.66,0,289.16,0,0,7.96,0
CAISO,2020,20200117,1,16,14.2498665899213,23042.64,37.56,0,0,17597.01,0,0,0,0,7.96,0
CAISO,2020,20200118,1,17,14.2498665899213,27121.60,51.59,0,0,18559.08,0,0,0,0,7.96,0
CAISO,2020,20200119,1,18,14.2498665899213,28000.49,85.01,0,0,18918.05,0,0,0,0,7.96,0
CAISO,2020,20200120,1,19,14.2498665899213,27604.11,49.34,0,0,17544.02,0,0,0,0,7.96,0
CAISO,2020,20200121,1,20,14.2498665899213,26912.99,49.34,0,0,16852.90,0,0,0,0,7.96,0
CAISO,2020,20200122,1,21,14.2498665899213,25706.95,41.79,0,0,15646.87,0,0,0,0,7.96,0
CAISO,2020,20200123,1,22,14.2498665899213,23782.69,37.59,0,0,14883.01,0,0,0,0,7.96,0
CAISO,2020,20200124,1,23,14.2498665899213,21649.83,37.59,0,0,13623.02,0,0,0,0,7.96,0
CAISO,2020,20200201,2,0,5.90752557717969,20275.68,37.43,0,0,14918.71,0,0,0,0,7.96,0
CAISO,2020,20200202,2,1,5.90752557717969,19485.17,37.43,0,0,14018.21,0,0,0,0,7.96,0
CAISO,2020,20200203,2,2,5.90752557717969,19149.42,37.43,0,0,13774.67,0,0,0,0,7.96,0
CAISO,2020,20200204,2,3,5.90752557717969,19101.09,37.43,0,0,13953.35,0,0,0,0,7.96,0
CAISO,2020,20200205,2,4,5.90752557717969,19719.32,37.43,0,0,14639.28,0,0,0,0,7.96,0
CAISO,2020,20200206,2,5,5.90752557717969,21458.95,37.43,0,0,16378.91,0,0,0,0,7.96,0
CAISO,2020,20200207,2,6,5.90752557717969,23989.05,37.56,0,0,18877.83,0,0,0,0,7.96,0
CAISO,2020,20200208,2,7,5.90752557717969,25396.51,37.56,0,0,19899.34,0,0,0,0,7.96,0
CAISO,2020,20200209,2,8,5.90752557717969,26530.97,37.43,0,0,21450.93,0,0,0,0,7.96,0
CAISO,2020,20200210,2,9,5.90752557717969,27236.64,35.31,0,0,22823.94,0,547.98,0,0,127.32,0
CAISO,2020,20200211,2,10,5.90752557717969,27779.25,35.31,0,0,24640.38,0,721.99,0,0,103.45,0
CAISO,2020,20200212,2,11,5.90752557717969,27770.57,35.31,0,0,25292.44,0,687.80,0,0,127.32,0
CAISO,2020,20200213,2,12,5.90752557717969,27467.52,35.31,0,0,25062.23,0,0,0,0,127.32,0
CAISO,2020,20200214,2,13,5.90752557717969,27231.03,35.31,0,0,23723.18,0,0,0,0,127.32,0
CAISO,2020,20200215,2,14,5.90752557717969,27090.28,35.98,0,0,21575.70,0,0,0,0,7.96,0
CAISO,2020,20200216,2,15,5.90752557717969,26794.06,37.43,0,0,21642.57,0,0,0,0,7.96,0
CAISO,2020,20200217,2,16,5.90752557717969,27104.69,37.56,0,0,20713.13,0,0,0,0,7.96,0
CAISO,2020,20200218,2,17,5.90752557717969,30618.14,45.95,0,0,20960.83,0,0,0,0,7.96,0
CAISO,2020,20200219,2,18,5.90752557717969,31165.10,86.85,0,0,21457.22,0,0,0,0,7.96,0
CAISO,2020,20200220,2,19,5.90752557717969,30514.65,45.82,0,0,20454.56,0,0,0,0,7.96,0
CAISO,2020,20200221,2,20,5.90752557717969,29462.91,42.18,0,0,19402.83,0,0,0,0,7.96,0
CAISO,2020,20200222,2,21,5.90752557717969,27802.00,37.56,0,0,17898.80,0,0,0,0,7.96,0
CAISO,2020,20200223,2,22,5.90752557717969,25536.59,37.56,0,0,17660.44,0,0,0,0,7.96,0
CAISO,2020,20200224,2,23,5.90752557717969,23260.31,37.56,0,0,17545.64,0,0,0,0,7.96,0
CAISO,2020,20200301,3,0,28.0221528838783,20642.75,34.73,0,0,15596.61,0,33.90,0,0,7.96,0
CAISO,2020,20200302,3,1,28.0221528838783,19848.91,35.98,0,0,13213.67,0,0,0,0,7.96,0
CAISO,2020,20200303,3,2,28.0221528838783,19477.24,35.98,0,0,13026.22,0,0,0,0,7.96,0
CAISO,2020,20200304,3,3,28.0221528838783,19484.65,35.98,0,0,12803.83,0,0,0,0,7.96,0
CAISO,2020,20200305,3,4,28.0221528838783,20212.22,36.86,0,0,13454.18,0,0,0,0,7.96,0
CAISO,2020,20200306,3,5,28.0221528838783,21914.99,37.93,0,0,15735.77,0,0,0,0,7.96,0
CAISO,2020,20200307,3,6,28.0221528838783,24471.02,37.94,0,0,16448.85,0,0,0,0,7.96,0
CAISO,2020,20200308,3,7,28.0221528838783,26028.58,37.94,0,0,17819.66,0,0,0,0,7.96,0
CAISO,2020,20200309,3,8,28.0221528838783,27217.11,37.93,0,0,20531.62,0,0,0,0,7.96,0
CAISO,2020,20200310,3,9,28.0221528838783,27984.71,34.73,0,0,23147.02,0,242.35,0,0,7.96,0
CAISO,2020,20200311,3,10,28.0221528838783,28203.55,34.73,0,0,25547.25,0,721.99,0,0,127.32,0
CAISO,2020,20200312,3,11,28.0221528838783,28123.27,34.73,0,0,27303.48,0,237.54,0,0,103.45,0
CAISO,2020,20200313,3,12,28.0221528838783,27881.46,34.73,0,0,27125.95,0,0,0,0,127.32,0
CAISO,2020,20200314,3,13,28.0221528838783,27741.86,34.73,0,0,26091.93,0,0,0,0,7.96,0
CAISO,2020,20200315,3,14,28.0221528838783,27329.64,34.73,0,0,24405.94,0,0,0,0,127.32,0
CAISO,2020,20200316,3,15,28.0221528838783,27109.57,34.73,0,0,23316.42,0,721.99,0,0,127.32,0
CAISO,2020,20200317,3,16,28.0221528838783,27362.27,37.93,0,0,20896.00,0,0,0,0,7.96,0
CAISO,2020,20200318,3,17,28.0221528838783,29315.10,41.25,0,0,19255.02,0,0,0,0,7.96,0
CAISO,2020,20200319,3,18,28.0221528838783,31321.75,95.02,0,0,23196.41,0,0,0,0,7.96,0
CAISO,2020,20200320,3,19,28.0221528838783,30871.61,42.40,0,0,22231.48,0,0,0,0,7.96,0
CAISO,2020,20200321,3,20,28.0221528838783,29879.68,49.96,0,0,19819.59,0,0,0,0,7.96,0
CAISO,2020,20200322,3,21,28.0221528838783,28265.73,40.32,0,0,18226.85,0,0,0,0,7.96,0
CAISO,2020,20200323,3,22,28.0221528838783,25844.34,37.94,0,0,17941.12,0,0,0,0,7.96,0
CAISO,2020,20200324,3,23,28.0221528838783,23353.01,37.93,0,0,17045.81,0,0,0,0,7.96,0
CAISO,2020,20200401,4,0,14.341145931673,21711.83,35.17,0,0,17664.89,0,0,0,0,7.96,0
CAISO,2020,20200402,4,1,14.341145931673,20818.09,35.17,0,0,15738.04,0,0,0,0,7.96,0
CAISO,2020,20200403,4,2,14.341145931673,20454.25,35.17,0,0,15374.21,0,0,0,0,7.96,0
CAISO,2020,20200404,4,3,14.341145931673,20237.33,35.17,0,0,15157.28,0,0,0,0,7.96,0
CAISO,2020,20200405,4,4,14.341145931673,20759.12,35.17,0,0,15679.08,0,0,0,0,7.96,0
CAISO,2020,20200406,4,5,14.341145931673,22600.05,35.17,0,0,18228.70,0,0,0,0,7.96,0
CAISO,2020,20200407,4,6,14.341145931673,25026.46,35.90,0,0,19577.58,0,0,0,0,7.96,0
CAISO,2020,20200408,4,7,14.341145931673,26627.42,35.17,0,0,21818.58,0,0,0,0,7.96,0
CAISO,2020,20200409,4,8,14.341145931673,27442.62,35.17,0,0,23740.29,0,0,0,0,7.96,0
CAISO,2020,20200410,4,9,14.341145931673,28219.41,35.12,0,0,27962.19,0,0,0,0,103.45,0
CAISO,2020,20200411,4,10,14.341145931673,29121.93,34.44,0,0,29821.70,0,572.45,0,0,127.32,0
CAISO,2020,20200412,4,11,14.341145931673,29641.60,34.44,0,0,30490.91,0,721.99,0,0,127.32,0
CAISO,2020,20200413,4,12,14.341145931673,29682.27,34.44,0,0,30424.69,0,615.09,0,0,127.32,0
CAISO,2020,20200414,4,13,14.341145931673,30085.05,34.44,0,0,30260.61,0,48.24,0,0,127.32,0
CAISO,2020,20200415,4,14,14.341145931673,30043.19,35.12,0,0,29145.58,0,0,0,0,7.96,0
CAISO,2020,20200416,4,15,14.341145931673,29438.13,35.12,0,0,27237.14,0,0,0,0,7.96,0
CAISO,2020,20200417,4,16,14.341145931673,28986.69,35.17,0,0,25004.45,0,0,0,0,7.96,0
CAISO,2020,20200418,4,17,14.341145931673,29157.03,35.98,0,0,21385.58,0,0,0,0,7.96,0
CAISO,2020,20200419,4,18,14.341145931673,31468.69,86.09,0,0,22529.31,0,0,0,0,7.96,0
CAISO,2020,20200420,4,19,14.341145931673,31280.48,40.85,0,0,21991.39,0,0,0,0,7.96,0
CAISO,2020,20200421,4,20,14.341145931673,30226.47,40.85,0,0,20166.39,0,0,0,0,7.96,0
CAISO,2020,20200422,4,21,14.341145931673,28154.68,35.98,0,0,19980.75,0,0,0,0,7.96,0
CAISO,2020,20200423,4,22,14.341145931673,25757.43,35.90,0,0,19883.39,0,0,0,0,7.96,0
CAISO,2020,20200424,4,23,14.341145931673,23370.86,35.18,0,0,18290.82,0,0,0,0,7.96,0
