resource,fuel,zone,contract,period,fuel_burn_mmbtu_per_year,ghg_tco2_per_year,pipeline_biogas_mmbtu_per_year,start_fuel_mmbtu_per_year
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2020,29911301.324095584,1585296.731171456,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2022,32125873.486168552,1702671.005746525,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2026,31242639.141516466,1655862.9472722393,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2030,28326322.467285894,1501295.6397020908,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2035,29761905.80258129,1577377.9611280763,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2040,28699539.619080808,1521072.9317596897,0.0,17043.690806468865
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2045,27340121.43267741,1449025.508753679,0.0,17216.997094625367
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2020,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2022,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2026,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2030,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2035,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2040,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2045,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2020,399648796.91533506,21181386.87675465,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2022,144887445.28788325,7679035.224713629,0.0,3176003.9162145946
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2026,270100058.2069361,14315300.161641918,0.0,6984482.81195567
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2030,261290823.60178465,13848416.84806143,0.0,4284265.520825465
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2035,315348284.1669208,16713461.370164005,0.0,2144980.910236327
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2040,330606067.1428998,17522125.553995322,0.0,3127265.1369480947
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2045,248669155.55758223,13179468.548765374,0.0,1044667.8683989916
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2020,1304441.8903402814,69134.80507060818,0.0,64335.175876901114
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2022,1031472.2905060606,54668.28589683892,0.0,161990.3905137184
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2040,5101952.415397304,270403.1587640896,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2045,5194642.425463406,275315.7002016227,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2020,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2022,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2026,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2030,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2035,41380653.50750686,2193173.04014964,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2020,18496172.791883405,1738657.6419329531,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2022,1592036.2846002094,149652.60005252037,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2035,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2040,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2020,268311664.85502455,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2022,268311664.85502455,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2026,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2030,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2035,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2040,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2045,58050378.84064079,0.0,0.0,0.0
