line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,488080.1506349361,0.0
BANC_to_CAISO,2022,290794.2243371459,0.0
BANC_to_CAISO,2026,285624.2478300808,0.0
BANC_to_CAISO,2030,24519.6323226002,0.0
BANC_to_CAISO,2035,51597.81708901139,0.0
BANC_to_CAISO,2040,53459.49566080104,0.0
BANC_to_CAISO,2045,27337.844944909422,0.0
IID_to_CAISO,2020,378.46150602477667,0.0
IID_to_CAISO,2022,7244.2174560647345,0.0
IID_to_CAISO,2026,7640.039060000305,0.0
IID_to_CAISO,2030,0.0,0.0
IID_to_CAISO,2035,3112.354539159144,0.0
IID_to_CAISO,2040,6644.044355604033,0.0
IID_to_CAISO,2045,160.32799644144052,0.0
LDWP_to_CAISO,2020,116653.62102132599,0.0
LDWP_to_CAISO,2022,48955.45057880142,0.0
LDWP_to_CAISO,2026,49774.145163499066,0.0
LDWP_to_CAISO,2030,390.09402206433913,0.0
LDWP_to_CAISO,2035,20606.082428051686,0.0
LDWP_to_CAISO,2040,244969.77419171322,0.0
LDWP_to_CAISO,2045,200222.69814807235,0.0
NW_to_CAISO_Unspecified,2020,4129749.115788335,0.0
NW_to_CAISO_Unspecified,2022,2924270.497859636,0.0
NW_to_CAISO_Unspecified,2026,2258467.5673918994,0.0
NW_to_CAISO_Unspecified,2030,531854.4427935861,0.0
NW_to_CAISO_Unspecified,2035,436041.77224736765,0.0
NW_to_CAISO_Unspecified,2040,137851.4218863798,0.0
NW_to_CAISO_Unspecified,2045,80465.37137634406,0.0
SW_to_CAISO,2020,5730511.840679763,0.0
SW_to_CAISO,2022,9004728.950654345,0.0
SW_to_CAISO,2026,8828980.214561488,0.0
SW_to_CAISO,2030,2186946.1237062756,0.0
SW_to_CAISO,2035,2989212.559677579,0.0
SW_to_CAISO,2040,2744181.9460757254,0.0
SW_to_CAISO,2045,1246090.6693467917,0.0
