transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1055204.831363846,1140375.6921376048,85170.86077375841,546.2864402473263,400.8731157055803,2087.5050305501086,212.4633891296213,6460.031580320266,42798801.2218775,46528797.110577464,3097161.5317020235,2169258.253277869,1055204.831363846,2762428.7389669395,884794.0640617616
BANC_to_CAISO,BANC,CAISO,2022,35722.958625697596,679427.7078569734,643704.7492312758,473.57417683938047,404.6572612418951,1434.6806500123234,1590.7406362998224,5734.578713687856,26006804.010480527,28243567.340368453,20498896.16211195,7697647.198247694,35722.958625697596,1645834.152028354,6687118.444227991
BANC_to_CAISO,BANC,CAISO,2026,588748.3415872562,667345.9124829978,78597.57089574152,611.6505490004872,260.77731193771547,1091.057489564137,301.39727383382916,7367.545236602044,24510246.869037986,54903905.882708594,2921616.4790457874,2015259.9887006024,588748.3415872562,1616566.8703245467,816509.8054118468
BANC_to_CAISO,BANC,CAISO,2030,20275.688885713113,57288.70282529175,37013.01393957863,236.20705601663457,270.76516807269513,242.5359504131717,136.69784117003323,8380.76620841681,2103460.714049838,8615990.77533957,1511531.601336343,1126966.386504121,20275.688885713113,138774.93990488927,384509.33399500937
BANC_to_CAISO,BANC,CAISO,2035,60797.9301127604,120555.63227839791,59757.70216563753,420.56033413072214,305.1747826608889,286.65478528207035,195.81467919661125,8277.530535521337,4960676.326133042,18468934.92292752,2550772.2195620956,1793384.603943405,60797.9301127604,292031.8683177121,620793.1601801965
BANC_to_CAISO,BANC,CAISO,2040,-43320.30837154485,124905.87278672434,168226.18115826912,254.0676743664444,405.35832842769116,491.62441895922314,415.0061053655586,7853.369475675237,6022597.910910582,23818349.49640008,6187088.00208562,1861456.9232122698,-43320.30837154485,302569.6699098671,1747616.922317594
BANC_to_CAISO,BANC,CAISO,2045,-749962.7158732105,63873.21786762323,813835.9337408335,339.5501036430779,600.4222795841722,188.11131901395123,1355.4392656855819,7216.449415300484,3680181.6331804544,20510728.578380655,34450963.956548326,13713842.784776827,-749962.7158732105,154725.73633435744,8454532.017176585
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-413149.50811671925,884.2757175326209,414033.78383425187,54.09,182.82472334377968,16.3482292019342,2264.6487644655786,6479.0030063324875,33938.50203890199,38881.60329990934,14942958.443247108,9915586.390595356,-413149.50811671925,2811.078011272585,4301186.068548458
IID_to_CAISO,IID,CAISO,2022,-1316420.6495451408,16926.314984691307,1333346.964529832,78.29594747298599,330.95762345052265,216.18379406585888,4028.754348150448,4515.061857783672,667312.063249313,737228.5194460142,43061842.285476185,14238852.218949419,-1316420.6495451408,53804.122835233225,13851455.273143766
IID_to_CAISO,IID,CAISO,2026,-803913.6141549638,17850.964444794456,821764.5785997584,102.4530427121087,306.7925732561223,174.23557146033585,2678.5673782061135,5907.197050333547,735596.4399498787,1560840.4372278606,24310458.00635521,10460620.452926364,-803913.6141549638,56744.07221206155,8536898.833798002
IID_to_CAISO,IID,CAISO,2030,-1009544.2178648115,0.0,1009544.2178648115,0.0,367.8452923565445,0.0,2744.480461873852,6015.5195381261565,0.0,0.0,30125884.090435214,14365219.90226396,-1009544.2178648115,0.0,10487645.36953411
IID_to_CAISO,IID,CAISO,2035,-1024408.1086691442,7271.7993889649915,1031679.9080581092,101.98777777777777,364.74695567089987,71.30069452841292,2828.4812032508444,5860.218102220748,348157.5512646972,1305517.5547886994,31984036.580604274,10640343.001156945,-1024408.1086691442,23115.209828147945,10717594.687353589
IID_to_CAISO,IID,CAISO,2040,-1202767.8301121376,15523.463995771834,1218291.2941079095,96.49869004831164,382.75755906531964,160.8670955844072,3182.9320290445303,5416.200875371075,805111.7505993508,3330615.224134074,40078420.65448718,7507330.508079239,-1202767.8301121376,49345.84758933919,12656196.926612386
IID_to_CAISO,IID,CAISO,2045,-1714605.0590243412,374.62395211100625,1714979.6829764522,42.555454810973536,377.14905299232544,8.803194649782101,4547.2199104563315,4203.976894893863,22338.84982870336,139859.24026467453,62521311.98808305,8303999.772984446,-1714605.0590243412,1190.825592886175,17816042.8464404
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDWP_to_CAISO,LDWP,CAISO,2020,-242851.97629642824,272555.292227986,515407.2685244142,660.7728956071705,1051.5967965975494,412.47952820089654,490.1187129820278,7857.401758817084,11884509.243906721,13698137.270868145,16083988.908064988,7144034.849738074,-242851.97629642824,1524018.2957049927,5354299.4334272565
LDWP_to_CAISO,LDWP,CAISO,2022,-3506668.9824924255,114381.92992472611,3621050.9124171506,548.3532722187424,1334.944689755768,208.5916793418865,2712.510068922505,5838.898251735613,7159307.133796104,7958161.79458747,105290061.2316077,19331806.804879382,-3506668.9824924255,639576.9754430013,37617236.54552137
LDWP_to_CAISO,LDWP,CAISO,2026,-1989523.5521251007,116295.41227302563,2105818.9643981266,366.5773601740061,1157.5503974536293,317.2465757782281,1819.2028347366052,6623.550589485177,6901434.207618188,12587136.44622724,60904077.24141475,22660851.97049904,-1989523.5521251007,650277.5889881463,21876282.9937732
LDWP_to_CAISO,LDWP,CAISO,2030,-2304275.1452844758,911.4605450548784,2305186.605829531,115.05,1245.939808083984,7.922299392045879,1850.1588847814926,6901.918815826477,38545.66645037081,145040.71653458278,67424962.76437041,30315786.518126052,-2304275.1452844758,5096.573644890956,23947399.720497064
LDWP_to_CAISO,LDWP,CAISO,2035,-2028029.9493995653,48145.171255918154,2076175.1206554838,342.11504335975667,1138.0319909072953,140.72801588350592,1824.3556747471173,6794.916309369395,2238852.4959966894,8554191.119043613,63214093.73377524,18898879.678044807,-2028029.9493995653,269207.8904958581,21568321.572766207
LDWP_to_CAISO,LDWP,CAISO,2040,-2203122.6804374172,572361.7486599783,2775484.429097393,616.8983454292484,1225.8984660213293,927.8056148160346,2264.041032782484,5568.153352401489,28059663.126562778,112389814.4875299,88652252.23045148,17048436.412108373,-2203122.6804374172,3200413.4089893894,28833086.66651705
LDWP_to_CAISO,LDWP,CAISO,2045,-4350752.495280639,467810.1164727809,4818562.611753417,757.993190528907,1250.1105500857886,617.1692863709709,3854.509196344871,4288.3215172841465,25565191.81978885,139579243.02609098,178634030.54983795,28786778.30255007,-4350752.495280639,2615802.0762227727,50057584.86358161
NW_to_BANC,NW,BANC,2020,4099455.593131483,4125157.8653666195,25702.27223513617,968.8088774775161,202.20957336892866,4257.968688424157,127.10709887233044,4374.924212703491,98363071.87516658,160582336.85294285,644487.318383761,582227.9078095712,4099455.593131483,47184684.85331149,62260.913633763725
NW_to_BANC,NW,BANC,2022,1847505.5589642846,2258064.004327571,410558.44536328677,840.3089368979644,350.01533689042554,2687.1831360776773,1172.972730311571,4899.844133610746,65558835.54756817,97445297.42768061,10588040.7311321,9593691.429849278,1847505.5589642846,27363242.424265184,994530.8155673302
NW_to_BANC,NW,BANC,2026,471792.30978329165,1973871.3525016068,1502079.0427183134,752.5744918813664,623.1255339477933,2622.825213710222,2410.556077203154,3726.6187090866047,58633111.487912685,88887705.26674713,36336552.53919112,15883204.493575312,471792.30978329165,27092076.90346062,3638612.7455462017
NW_to_BANC,NW,BANC,2030,-942901.7122075177,1574415.9789388122,2517317.6911463295,538.6011003297484,793.1097146012559,2923.1577469390713,3173.984185040448,2662.8580680204595,45549996.414226845,70297942.32005657,69797680.46902524,14839490.229320511,-942901.7122075177,24746296.263727173,6097909.516467934
NW_to_BANC,NW,BANC,2035,-1235178.9732507397,1402013.1956573487,2637192.1689080913,505.0772624276043,811.7014649137512,2775.8390645397694,3248.968103301761,2735.1928321584505,41069384.801115096,67487034.95687722,74796527.9856582,19275968.855772976,-1235178.9732507397,26416800.586662456,6388291.921722372
NW_to_BANC,NW,BANC,2040,-1317961.7899583362,1372505.2624656355,2690467.0524239726,520.3057800004674,791.7974164297403,2637.882020961602,3397.923504923067,2724.194474115315,43510866.3333994,75692350.97425114,78428197.66293061,20371698.697546598,-1317961.7899583362,31388702.31906543,6517344.883574738
NW_to_BANC,NW,BANC,2045,-1955599.9636038048,927130.2759272823,2882730.239531088,554.4978260532481,763.7259692751558,1672.0178734086696,3774.5609754072616,3313.4211511840585,27084618.221002683,54589494.63836952,84817068.65953043,25103276.059591413,-1955599.9636038048,26016842.59781955,6983080.757098472
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2020,19625854.93024774,19663465.510126844,37610.579879108445,3520.5744495220706,331.45851711557276,5585.3002946142,113.46994551959095,3061.229759866214,616991608.3143234,794387911.9976429,964942.7484105161,47074.183907685605,19625854.93024774,96582861.5156664,390717.1180550972
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2022,14348095.345996486,16623141.081079174,2275045.7350826724,3134.8169566911074,1158.0264223259333,5302.746958031449,1964.5887962669883,1492.6642457015764,569199766.3183331,705356390.7934083,66047051.615051985,2420368.018577545,14348095.345996486,81649432.68222462,23634283.220600657
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2026,13491953.911314724,16424861.674001941,2932907.7626872053,2758.2382941901537,2010.0900711885947,5954.837806653121,1459.0927067029068,1346.06948664398,1231079636.1653762,1344395462.6914635,85494317.07048084,20328439.455924284,13491953.911314724,80675520.46697801,30468484.331581064
